사용단어	가중치	사용횟수	단어승률
가게	89	100	0.89
가격	100	100	1.0
가구	86	100	0.86
가까이	87	100	0.87
가난	100	100	1.0
가능	42	100	0.42
가능성	74	100	0.74
가로	51	100	0.51
가로등	83	100	0.83
가로수	92	100	0.92
가루	100	100	1.0
가르침	69	100	0.69
가뭄	100	100	1.0
가방	87	100	0.87
가사	73	100	0.73
가상	89	100	0.89
가수	88	100	0.88
가스	85	100	0.85
가슴	100	100	1.0
가슴속	99	100	0.99
가요	95	100	0.95
가운데	100	100	1.0
가위	77	100	0.77
가을	100	100	1.0
가이드	100	100	1.0
가입	84	100	0.84
가입자	76	100	0.76
가장	72	100	0.72
가정	100	100	1.0
가정교사	76	100	0.76
가족	100	100	1.0
가죽	100	100	1.0
가지	89	100	0.89
가짜	96	100	0.96
가치	73	100	0.73
가치관	80	100	0.8
가톨릭	100	100	1.0
각각	100	100	1.0
각국	93	100	0.93
각오	79	100	0.79
각자	86	100	0.86
각종	79	100	0.79
간격	100	100	1.0
간부	87	100	0.87
간섭	100	100	1.0
간식	82	100	0.82
간장	82	100	0.82
간접	60	100	0.6
간접적	84	100	0.84
간판	100	100	1.0
간호	74	100	0.74
간호사	81	100	0.81
갈등	87	100	0.87
갈비	83	100	0.83
갈비탕	100	100	1.0
갈색	55	100	0.55
갈증	97	100	0.97
감각	97	100	0.97
감기	89	100	0.89
감독	89	100	0.89
감동	89	100	0.89
감동적	78	100	0.78
감사	75	100	0.75
감상	84	100	0.84
감소	96	100	0.96
감수성	73	100	0.73
감옥	100	100	1.0
감자	84	100	0.84
감정	100	100	1.0
감정적	84	100	0.84
강남	91	100	0.91
강당	100	100	1.0
강도	85	100	0.85
강물	95	100	0.95
강변	100	100	1.0
강북	69	100	0.69
강사	81	100	0.81
강수량	100	100	1.0
강아지	94	100	0.94
강원도	87	100	0.87
강의	94	100	0.94
강제	100	100	1.0
강조	90	100	0.9
갖가지	87	100	0.87
개개인	84	100	0.84
개구리	52	100	0.52
개나리	46	100	0.46
개미	81	100	0.81
개방	93	100	0.93
개별	100	100	1.0
개선	91	100	0.91
개성	76	100	0.76
개인	86	100	0.86
개인적	74	100	0.74
객관적	73	100	0.73
거리	58	100	0.58
거실	72	100	0.72
거액	100	100	1.0
거울	100	100	1.0
거짓	100	100	1.0
거짓말	67	100	0.67
거품	100	100	1.0
걱정	98	100	0.98
건강	92	100	0.92
건너	100	100	1.0
건너편	98	100	0.98
건넌방	86	100	0.86
건물	88	100	0.88
건설	75	100	0.75
건조	91	100	0.91
건축	100	100	1.0
걷기	87	100	0.87
걸음	77	100	0.77
검사	88	100	0.88
검은색	55	100	0.55
검정색	46	100	0.46
검토	72	100	0.72
게시판	100	100	1.0
게임	100	100	1.0
겨울	100	100	1.0
겨울철	100	100	1.0
겨자	88	100	0.88
견해	97	100	0.97
결과	100	100	1.0
결과적	74	100	0.74
결국	95	100	0.95
결론	100	100	1.0
결석	100	100	1.0
결승	94	100	0.94
결심	80	100	0.8
결정	100	100	1.0
결혼	100	100	1.0
결혼식	79	100	0.79
경계	60	100	0.6
경고	79	100	0.79
경기	89	100	0.89
경기도	75	100	0.75
