사용단어	가중치	사용횟수	단어승률
가게	91	100	0.91
가격	100	100	1.0
가구	91	100	0.91
가까이	86	100	0.86
가난	100	100	1.0
가능	44	100	0.44
가능성	83	100	0.83
가로	51	100	0.51
가로등	85	100	0.85
가로수	87	100	0.87
가루	100	100	1.0
가르침	70	100	0.7
가뭄	100	100	1.0
가방	90	100	0.9
가사	76	100	0.76
가상	86	100	0.86
가수	92	100	0.92
가스	82	100	0.82
가슴	100	100	1.0
가슴속	98	100	0.98
가요	86	100	0.86
가운데	100	100	1.0
가위	72	100	0.72
가을	100	100	1.0
가이드	100	100	1.0
가입	80	100	0.8
가입자	80	100	0.8
가장	68	100	0.68
가정	96	100	0.96
가정교사	82	100	0.82
가족	100	100	1.0
가죽	100	100	1.0
가지	91	100	0.91
가짜	97	100	0.97
가치	74	100	0.74
가치관	71	100	0.71
가톨릭	100	100	1.0
각각	100	100	1.0
각국	93	100	0.93
각오	68	100	0.68
각자	82	100	0.82
각종	74	100	0.74
간격	100	100	1.0
간부	92	100	0.92
간섭	100	100	1.0
간식	82	100	0.82
간장	76	100	0.76
간접	73	100	0.73
간접적	86	100	0.86
간판	100	100	1.0
간호	81	100	0.81
간호사	79	100	0.79
갈등	79	100	0.79
갈비	84	100	0.84
갈비탕	100	100	1.0
갈색	46	100	0.46
갈증	99	100	0.99
감각	96	100	0.96
감기	83	100	0.83
감독	84	100	0.84
감동	94	100	0.94
감동적	75	100	0.75
감사	85	100	0.85
감상	85	100	0.85
감소	89	100	0.89
감수성	79	100	0.79
감옥	100	100	1.0
감자	86	100	0.86
감정	100	100	1.0
감정적	81	100	0.81
강남	88	100	0.88
강당	100	100	1.0
강도	82	100	0.82
강물	91	100	0.91
강변	100	100	1.0
강북	71	100	0.71
강사	74	100	0.74
강수량	100	100	1.0
강아지	89	100	0.89
강원도	81	100	0.81
강의	93	100	0.93
강제	100	100	1.0
강조	88	100	0.88
갖가지	93	100	0.93
개개인	87	100	0.87
개구리	42	100	0.42
개나리	52	100	0.52
개미	81	100	0.81
개방	91	100	0.91
개별	100	100	1.0
개선	93	100	0.93
개성	84	100	0.84
개인	83	100	0.83
개인적	77	100	0.77
객관적	82	100	0.82
거리	46	100	0.46
거실	73	100	0.73
거액	100	100	1.0
거울	100	100	1.0
거짓	100	100	1.0
거짓말	69	100	0.69
거품	100	100	1.0
걱정	96	100	0.96
건강	90	100	0.9
건너	100	100	1.0
건너편	99	100	0.99
건넌방	89	100	0.89
건물	93	100	0.93
건설	72	100	0.72
건조	79	100	0.79
건축	100	100	1.0
걷기	80	100	0.8
걸음	79	100	0.79
검사	84	100	0.84
검은색	50	100	0.5
검정색	48	100	0.48
검토	72	100	0.72
게시판	100	100	1.0
게임	100	100	1.0
겨울	100	100	1.0
겨울철	100	100	1.0
겨자	88	100	0.88
견해	96	100	0.96
결과	99	100	0.99
결과적	73	100	0.73
결국	95	100	0.95
결론	100	100	1.0
결석	100	100	1.0
결승	97	100	0.97
결심	84	100	0.84
결정	100	100	1.0
결혼	100	100	1.0
결혼식	81	100	0.81
경계	68	100	0.68
경고	77	100	0.77
경기	86	100	0.86
경기도	82	100	0.82
경기장	83	100	0.83
경력	100	100	1.0
경복궁	100	100	1.0
경비	93	100	0.93
경상도	78	100	0.78
경영	79	100	0.79
경우	95	100	0.95
경쟁	100	100	1.0
경쟁력	100	100	1.0
경제	100	100	1.0
경제력	100	100	1.0
경제적	81	100	0.81
경제학	81	100	0.81
경주	90	100	0.9
경찰	100	100	1.0
경찰관	73	100	0.73
경찰서	80	100	0.8
경치	59	100	0.59
경향	100	100	1.0
경험	100	100	1.0
계곡	100	100	1.0
계단	92	100	0.92
계란	100	100	1.0
계산	95	100	0.95
계산기	87	100	0.87
계약	89	100	0.89
계절	98	100	0.98
계좌	95	100	0.95
계층	100	100	1.0
계획	100	100	1.0
고개	97	100	0.97
고객	100	100	1.0
고교	96	100	0.96
고구려	100	100	1.0
고구마	60	100	0.6
고궁	100	100	1.0
고급	100	100	1.0
고기	86	100	0.86
고등학교	95	100	0.95
고등학생	90	100	0.9
고려	100	100	1.0
고모	76	100	0.76
고모부	92	100	0.92
고무신	86	100	0.86
고민	72	100	0.72
고생	86	100	0.86
고속	92	100	0.92
고속도로	46	100	0.46
고속버스	86	100	0.86
고양이	91	100	0.91
고장	73	100	0.73
고전	93	100	0.93
고집	100	100	1.0
고추	68	100	0.68
고추장	79	100	0.79
고춧가루	100	100	1.0
고통	97	100	0.97
고함	100	100	1.0
고향	100	100	1.0
곡식	91	100	0.91
골목	62	100	0.62
골목길	100	100	1.0
골짜기	88	100	0.88
골치	75	100	0.75
골프	78	100	0.78
골프장	76	100	0.76
곳곳	100	100	1.0
공간	80	100	0.8
공개	97	100	0.97
공격	100	100	1.0
공공	92	100	0.92
공군	100	100	1.0
공급	100	100	1.0
공기	87	100	0.87
공동	86	100	0.86
공무원	87	100	0.87
공부	92	100	0.92
공사	77	100	0.77
공식	86	100	0.86
공식적	78	100	0.78
공업	100	100	1.0
공연	89	100	0.89
공연장	70	100	0.7
공원	81	100	0.81
공장	69	100	0.69
공주	93	100	0.93
공중	93	100	0.93
공중전화	100	100	1.0
공짜	96	100	0.96
공책	97	100	0.97
공통	98	100	0.98
공통적	83	100	0.83
공통점	79	100	0.79
공포	87	100	0.87
공항	100	100	1.0
공항버스	87	100	0.87
공해	98	100	0.98
공휴일	94	100	0.94
과거	84	100	0.84
과목	72	100	0.72
과외	75	100	0.75
과일	97	100	0.97
과자	78	100	0.78
과장	79	100	0.79
과정	100	100	1.0
과제	100	100	1.0
과학	88	100	0.88
과학자	79	100	0.79
과학적	78	100	0.78
관객	100	100	1.0
