사용단어	가중치	사용횟수	단어승률
가게	93	100	0.93
가격	100	100	1.0
가구	86	100	0.86
가까이	84	100	0.84
가난	100	100	1.0
가능	47	100	0.47
가능성	87	100	0.87
가로	54	100	0.54
가로등	84	100	0.84
가로수	87	100	0.87
가루	100	100	1.0
가르침	68	100	0.68
가뭄	100	100	1.0
가방	89	100	0.89
가사	78	100	0.78
가상	87	100	0.87
가수	94	100	0.94
가스	82	100	0.82
가슴	100	100	1.0
가슴속	97	100	0.97
가요	94	100	0.94
가운데	100	100	1.0
가위	74	100	0.74
가을	100	100	1.0
가이드	100	100	1.0
가입	89	100	0.89
가입자	82	100	0.82
가장	77	100	0.77
가정	99	100	0.99
가정교사	80	100	0.8
가족	100	100	1.0
가죽	100	100	1.0
가지	91	100	0.91
가짜	96	100	0.96
가치	72	100	0.72
가치관	77	100	0.77
가톨릭	100	100	1.0
각각	100	100	1.0
각국	95	100	0.95
각오	80	100	0.8
각자	83	100	0.83
각종	81	100	0.81
간격	100	100	1.0
간부	87	100	0.87
간섭	100	100	1.0
간식	84	100	0.84
간장	76	100	0.76
간접	63	100	0.63
간접적	82	100	0.82
간판	100	100	1.0
간호	79	100	0.79
간호사	79	100	0.79
갈등	81	100	0.81
갈비	84	100	0.84
갈비탕	100	100	1.0
갈색	53	100	0.53
갈증	100	100	1.0
감각	94	100	0.94
감기	83	100	0.83
감독	81	100	0.81
감동	86	100	0.86
감동적	75	100	0.75
감사	72	100	0.72
감상	86	100	0.86
감소	89	100	0.89
감수성	74	100	0.74
감옥	100	100	1.0
감자	83	100	0.83
감정	99	100	0.99
감정적	86	100	0.86
강남	81	100	0.81
강당	100	100	1.0
강도	74	100	0.74
강물	86	100	0.86
강변	100	100	1.0
강북	70	100	0.7
강사	78	100	0.78
강수량	100	100	1.0
강아지	94	100	0.94
강원도	85	100	0.85
강의	94	100	0.94
강제	100	100	1.0
강조	85	100	0.85
갖가지	92	100	0.92
개개인	85	100	0.85
개구리	56	100	0.56
개나리	47	100	0.47
개미	80	100	0.8
개방	91	100	0.91
개별	100	100	1.0
개선	82	100	0.82
개성	84	100	0.84
개인	84	100	0.84
개인적	78	100	0.78
객관적	77	100	0.77
거리	50	100	0.5
거실	77	100	0.77
거액	100	100	1.0
거울	100	100	1.0
거짓	100	100	1.0
거짓말	63	100	0.63
거품	100	100	1.0
걱정	100	100	1.0
건강	92	100	0.92
건너	100	100	1.0
건너편	98	100	0.98
건넌방	90	100	0.9
건물	87	100	0.87
건설	74	100	0.74
건조	87	100	0.87
건축	100	100	1.0
걷기	90	100	0.9
걸음	79	100	0.79
검사	82	100	0.82
검은색	47	100	0.47
검정색	48	100	0.48
검토	69	100	0.69
게시판	100	100	1.0
게임	100	100	1.0
겨울	100	100	1.0
겨울철	100	100	1.0
겨자	75	100	0.75
견해	96	100	0.96
결과	100	100	1.0
결과적	82	100	0.82
