사용단어	가중치	사용횟수	단어승률
가게	94	100	0.94
가격	100	100	1.0
가구	86	100	0.86
가까이	84	100	0.84
가난	100	100	1.0
가능	54	100	0.54
가능성	81	100	0.81
가로	51	100	0.51
가로등	83	100	0.83
가로수	90	100	0.9
가루	100	100	1.0
가르침	66	100	0.66
가뭄	100	100	1.0
가방	88	100	0.88
가사	85	100	0.85
가상	90	100	0.9
가수	91	100	0.91
가스	85	100	0.85
가슴	100	100	1.0
가슴속	97	100	0.97
가요	91	100	0.91
가운데	100	100	1.0
가위	77	100	0.77
가을	100	100	1.0
가이드	100	100	1.0
가입	83	100	0.83
가입자	84	100	0.84
가장	78	100	0.78
가정	100	100	1.0
가정교사	84	100	0.84
가족	100	100	1.0
가죽	100	100	1.0
가지	91	100	0.91
가짜	96	100	0.96
가치	73	100	0.73
가치관	68	100	0.68
가톨릭	100	100	1.0
각각	100	100	1.0
각국	98	100	0.98
각오	72	100	0.72
각자	88	100	0.88
각종	80	100	0.8
간격	100	100	1.0
간부	89	100	0.89
간섭	100	100	1.0
간식	84	100	0.84
간장	82	100	0.82
간접	76	100	0.76
간접적	80	100	0.8
간판	100	100	1.0
간호	82	100	0.82
간호사	83	100	0.83
갈등	88	100	0.88
갈비	83	100	0.83
갈비탕	100	100	1.0
갈색	46	100	0.46
갈증	96	100	0.96
감각	96	100	0.96
감기	81	100	0.81
감독	87	100	0.87
감동	92	100	0.92
감동적	73	100	0.73
감사	82	100	0.82
감상	89	100	0.89
감소	94	100	0.94
감수성	79	100	0.79
감옥	100	100	1.0
감자	84	100	0.84
감정	99	100	0.99
감정적	78	100	0.78
강남	88	100	0.88
강당	100	100	1.0
강도	77	100	0.77
강물	87	100	0.87
강변	98	100	0.98
강북	64	100	0.64
강사	84	100	0.84
강수량	100	100	1.0
강아지	90	100	0.9
강원도	88	100	0.88
강의	93	100	0.93
강제	100	100	1.0
강조	85	100	0.85
갖가지	94	100	0.94
개개인	87	100	0.87
개구리	56	100	0.56
개나리	54	100	0.54
개미	74	100	0.74
개방	90	100	0.9
개별	100	100	1.0
개선	93	100	0.93
개성	77	100	0.77
개인	83	100	0.83
개인적	79	100	0.79
객관적	81	100	0.81
거리	46	100	0.46
거실	78	100	0.78
거액	100	100	1.0
거울	100	100	1.0
거짓	100	100	1.0
거짓말	58	100	0.58
거품	100	100	1.0
걱정	100	100	1.0
건강	92	100	0.92
건너	100	100	1.0
건너편	98	100	0.98
건넌방	85	100	0.85
건물	92	100	0.92
건설	72	100	0.72
건조	88	100	0.88
건축	100	100	1.0
걷기	80	100	0.8
걸음	81	100	0.81
검사	80	100	0.8
검은색	49	100	0.49
검정색	55	100	0.55
검토	67	100	0.67
게시판	100	100	1.0
게임	100	100	1.0
겨울	100	100	1.0
겨울철	100	100	1.0
겨자	84	100	0.84
견해	96	100	0.96
결과	99	100	0.99
결과적	79	100	0.79
결국	95	100	0.95
결론	100	100	1.0
결석	100	100	1.0
결승	95	100	0.95
결심	82	100	0.82
결정	99	100	0.99
결혼	100	100	1.0
결혼식	83	100	0.83
경계	67	100	0.67
경고	83	100	0.83
경기	87	100	0.87
경기도	81	100	0.81
경기장	86	100	0.86
경력	100	100	1.0
경복궁	100	100	1.0
경비	86	100	0.86
경상도	84	100	0.84
경영	91	100	0.91
경우	85	100	0.85
경쟁	100	100	1.0
경쟁력	100	100	1.0
경제	100	100	1.0
경제력	100	100	1.0
경제적	77	100	0.77
경제학	78	100	0.78
경주	91	100	0.91
경찰	100	100	1.0
경찰관	70	100	0.7
경찰서	75	100	0.75
경치	65	100	0.65
경향	100	100	1.0
경험	100	100	1.0
계곡	100	100	1.0
계단	92	100	0.92
계란	100	100	1.0
계산	94	100	0.94
계산기	84	100	0.84
계약	85	100	0.85
계절	96	100	0.96
계좌	98	100	0.98
계층	100	100	1.0
계획	100	100	1.0
고개	99	100	0.99
고객	100	100	1.0
고교	94	100	0.94
고구려	100	100	1.0
고구마	65	100	0.65
고궁	100	100	1.0
고급	100	100	1.0
고기	91	100	0.91
고등학교	95	100	0.95
고등학생	94	100	0.94
고려	100	100	1.0
고모	84	100	0.84
고모부	92	100	0.92
고무신	89	100	0.89
고민	83	100	0.83
고생	95	100	0.95
고속	98	100	0.98
고속도로	50	100	0.5
고속버스	89	100	0.89
고양이	85	100	0.85
고장	84	100	0.84
고전	97	100	0.97
고집	100	100	1.0
고추	66	100	0.66
고추장	83	100	0.83
고춧가루	100	100	1.0
고통	98	100	0.98
고함	100	100	1.0
고향	100	100	1.0
곡식	79	100	0.79
골목	62	100	0.62
골목길	100	100	1.0
골짜기	83	100	0.83
골치	66	100	0.66
골프	77	100	0.77
골프장	72	100	0.72
곳곳	100	100	1.0
공간	77	100	0.77
공개	99	100	0.99
공격	100	100	1.0
공공	87	100	0.87
공군	100	100	1.0
공급	100	100	1.0
공기	92	100	0.92
공동	84	100	0.84
공무원	81	100	0.81
공부	90	100	0.9
공사	84	100	0.84
공식	85	100	0.85
공식적	85	100	0.85
공업	100	100	1.0
공연	89	100	0.89
공연장	74	100	0.74
공원	85	100	0.85
공장	77	100	0.77
공주	96	100	0.96
공중	88	100	0.88
공중전화	99	100	0.99
공짜	96	100	0.96
공책	99	100	0.99
공통	98	100	0.98
공통적	80	100	0.8
공통점	78	100	0.78
공포	83	100	0.83
공항	100	100	1.0
공항버스	86	100	0.86
공해	95	100	0.95
공휴일	96	100	0.96
과거	77	100	0.77
과목	73	100	0.73
과외	86	100	0.86
과일	96	100	0.96
과자	89	100	0.89
과장	79	100	0.79
과정	98	100	0.98
과제	100	100	1.0
과학	79	100	0.79
과학자	78	100	0.78
과학적	81	100	0.81
관객	100	100	1.0
관계	74	100	0.74
관계자	88	100	0.88
관광	100	100	1.0
관광객	100	100	1.0
관광버스	84	100	0.84
관광지	92	100	0.92
관념	100	100	1.0
관람	100	100	1.0
관람객	100	100	1.0
관련	100	100	1.0
관리	56	100	0.56
관습	100	100	1.0
관심	90	100	0.9
관심사	81	100	0.81
관점	79	100	0.79
관찰	100	100	1.0
광경	72	100	0.72
광고	77	100	0.77
광장	80	100	0.8
광주	92	100	0.92
괴로움	92	100	0.92
교과서	81	100	0.81
교내	88	100	0.88
교대	92	100	0.92
교류	100	100	1.0
교문	91	100	0.91
교복	96	100	0.96
교사	83	100	0.83
교수	93	100	0.93
교실	72	100	0.72
교양	77	100	0.77
교외	81	100	0.81
교육	92	100	0.92
교육비	84	100	0.84
교육자	87	100	0.87
교장	79	100	0.79
교재	71	100	0.71
교직	95	100	0.95
교체	70	100	0.7
교통	99	100	0.99
교통사고	75	100	0.75
교포	84	100	0.84
교환	70	100	0.7
교회	100	100	1.0
교훈	0	100	0.0
구경	70	100	0.7
구두	53	100	0.53
구름	100	100	1.0
구멍	100	100	1.0
구별	100	100	1.0
구분	90	100	0.9
구석	100	100	1.0
구석구석	100	100	1.0
구성	72	100	0.72
구속	97	100	0.97
구역	100	100	1.0
구월	43	100	0.43
구입	83	100	0.83
구조	85	100	0.85
구청	46	100	0.46
구체적	83	100	0.83
국가	72	100	0.72
국가적	83	100	0.83
국기	90	100	0.9
국내	82	100	0.82
국내선	91	100	0.91
국내외	77	100	0.77
국립	100	100	1.0
국물	91	100	0.91
국민	84	100	0.84
국민적	80	100	0.8
국사	79	100	0.79
국산	94	100	0.94
국수	91	100	0.91
국어	67	100	0.67
국왕	100	100	1.0
국적	81	100	0.81
국제	100	100	1.0
국제선	88	100	0.88
국제적	82	100	0.82
국제화	100	100	1.0
국회	100	100	1.0
국회의원	84	100	0.84
군대	94	100	0.94
군사	76	100	0.76
군인	82	100	0.82
궁극적	73	100	0.73
권리	58	100	0.58
권위	72	100	0.72
권투	99	100	0.99
귀가	77	100	0.77
귀국	94	100	0.94
귀신	91	100	0.91
귓속	95	100	0.95
규모	80	100	0.8
규정	99	100	0.99
규칙	100	100	1.0
규칙적	75	100	0.75
균형	86	100	0.86
그간	89	100	0.89
그날	100	100	1.0
그늘	100	100	1.0
그다음	77	100	0.77
그동안	88	100	0.88
그때	100	100	1.0
그래픽	100	100	1.0
그룹	100	100	1.0
그릇	100	100	1.0
그리움	93	100	0.93
그림	100	100	1.0
그림자	80	100	0.8
그사이	93	100	0.93
그저께	100	100	1.0
그전	92	100	0.92
그중	89	100	0.89
그해	95	100	0.95
극복	94	100	0.94
극작가	75	100	0.75
극장	79	100	0.79
근거	87	100	0.87
근교	99	100	0.99
근래	100	100	1.0
근로	56	100	0.56
근로자	87	100	0.87
근무	75	100	0.75
근본	84	100	0.84
근본적	73	100	0.73
근원	92	100	0.92
근육	98	100	0.98
근처	83	100	0.83
글쓰기	83	100	0.83
글씨	0	100	0.0
글자	87	100	0.87
금강산	97	100	0.97
금고	78	100	0.78
금년	100	100	1.0
금메달	51	100	0.51
금액	100	100	1.0
금연	89	100	0.89
금요일	97	100	0.97
금지	92	100	0.92
긍정적	79	100	0.79
기간	80	100	0.8
기계	63	100	0.63
기관	64	100	0.64
기구	84	100	0.84
기기	86	100	0.86
기념	100	100	1.0
기념일	97	100	0.97
기념품	100	100	1.0
기능	46	100	0.46
기대	90	100	0.9
기도	86	100	0.86
기독교	96	100	0.96
기둥	100	100	1.0
기록	100	100	1.0
기름	100	100	1.0
기법	57	100	0.57
기본	86	100	0.86
기본적	77	100	0.77
기분	77	100	0.77
기쁨	100	100	1.0
기사	81	100	0.81
기성	79	100	0.79
기성세대	90	100	0.9
기숙사	76	100	0.76
기술	93	100	0.93
기술자	77	100	0.77
기억	100	100	1.0
기업	100	100	1.0
기업인	81	100	0.81
기여	85	100	0.85
기온	98	100	0.98
기운	100	100	1.0
기원	80	100	0.8
기원전	95	100	0.95
기자	81	100	0.81
기적	86	100	0.86
기준	100	100	1.0
기차	59	100	0.59
기초	87	100	0.87
기초적	84	100	0.84
기침	59	100	0.59
기타	61	100	0.61
기호	71	100	0.71
기혼	100	100	1.0
기회	98	100	0.98
기획	100	100	1.0
기후	90	100	0.9
긴급	100	100	1.0
긴장	83	100	0.83
긴장감	100	100	1.0
길가	64	100	0.64
길거리	55	100	0.55
길이	88	100	0.88
김밥	20	100	0.2
김치	74	100	0.74
