사용단어	가중치	사용횟수	단어승률
가게	89	100	0.89
가격	100	100	1.0
가구	92	100	0.92
가까이	88	100	0.88
가난	100	100	1.0
가능	46	100	0.46
가능성	87	100	0.87
가로	48	100	0.48
가로등	88	100	0.88
가로수	96	100	0.96
가루	100	100	1.0
가르침	67	100	0.67
가뭄	100	100	1.0
가방	90	100	0.9
가사	79	100	0.79
가상	83	100	0.83
가수	91	100	0.91
가스	83	100	0.83
가슴	100	100	1.0
가슴속	97	100	0.97
가요	91	100	0.91
가운데	100	100	1.0
가위	71	100	0.71
가을	100	100	1.0
가이드	100	100	1.0
가입	78	100	0.78
가입자	78	100	0.78
가장	78	100	0.78
가정	98	100	0.98
가정교사	71	100	0.71
가족	100	100	1.0
가죽	100	100	1.0
가지	81	100	0.81
가짜	91	100	0.91
가치	69	100	0.69
가치관	73	100	0.73
가톨릭	100	100	1.0
각각	100	100	1.0
각국	93	100	0.93
각오	73	100	0.73
각자	87	100	0.87
각종	88	100	0.88
간격	100	100	1.0
간부	84	100	0.84
간섭	100	100	1.0
간식	88	100	0.88
간장	80	100	0.8
간접	69	100	0.69
간접적	81	100	0.81
간판	100	100	1.0
간호	80	100	0.8
간호사	85	100	0.85
갈등	82	100	0.82
갈비	83	100	0.83
갈비탕	100	100	1.0
갈색	45	100	0.45
갈증	95	100	0.95
감각	92	100	0.92
감기	80	100	0.8
감독	79	100	0.79
감동	88	100	0.88
감동적	81	100	0.81
감사	77	100	0.77
감상	86	100	0.86
감소	87	100	0.87
감수성	89	100	0.89
감옥	100	100	1.0
감자	88	100	0.88
감정	99	100	0.99
감정적	80	100	0.8
강남	88	100	0.88
강당	100	100	1.0
강도	79	100	0.79
강물	90	100	0.9
강변	98	100	0.98
강북	68	100	0.68
강사	81	100	0.81
강수량	100	100	1.0
강아지	91	100	0.91
강원도	83	100	0.83
강의	94	100	0.94
강제	100	100	1.0
강조	87	100	0.87
갖가지	93	100	0.93
개개인	80	100	0.8
개구리	48	100	0.48
개나리	50	100	0.5
개미	82	100	0.82
개방	94	100	0.94
개별	100	100	1.0
개선	92	100	0.92
개성	79	100	0.79
개인	84	100	0.84
개인적	77	100	0.77
객관적	72	100	0.72
거리	52	100	0.52
거실	73	100	0.73
거액	100	100	1.0
거울	100	100	1.0
거짓	100	100	1.0
거짓말	58	100	0.58
거품	100	100	1.0
걱정	99	100	0.99
건강	92	100	0.92
건너	100	100	1.0
건너편	99	100	0.99
건넌방	82	100	0.82
건물	90	100	0.9
건설	70	100	0.7
건조	82	100	0.82
건축	99	100	0.99
걷기	82	100	0.82
걸음	84	100	0.84
검사	78	100	0.78
검은색	52	100	0.52
검정색	53	100	0.53
검토	69	100	0.69
게시판	100	100	1.0
게임	100	100	1.0
겨울	100	100	1.0
겨울철	100	100	1.0
겨자	79	100	0.79
견해	100	100	1.0
결과	98	100	0.98
결과적	81	100	0.81
결국	89	100	0.89
결론	100	100	1.0
결석	100	100	1.0
결승	95	100	0.95
결심	81	100	0.81
결정	99	100	0.99
결혼	100	100	1.0
결혼식	83	100	0.83
경계	64	100	0.64
경고	74	100	0.74
경기	88	100	0.88
경기도	82	100	0.82
