사용단어	가중치	사용횟수	단어승률
교실	77	100	0.77
교양	79	100	0.79
교외	81	100	0.81
교육	95	100	0.95
교육비	80	100	0.8
교육자	84	100	0.84
교장	79	100	0.79
교재	73	100	0.73
교직	99	100	0.99
교체	77	100	0.77
교통	99	100	0.99
교통사고	75	100	0.75
교포	89	100	0.89
교환	66	100	0.66
교회	99	100	0.99
교훈	0	100	0.0
구경	70	100	0.7
구두	56	100	0.56
구름	100	100	1.0
구멍	100	100	1.0
구별	100	100	1.0
구분	90	100	0.9
구석	100	100	1.0
구석구석	100	100	1.0
구성	84	100	0.84
구속	95	100	0.95
구역	100	100	1.0
구월	52	100	0.52
구입	81	100	0.81
구조	85	100	0.85
구청	50	100	0.5
구체적	84	100	0.84
국가	84	100	0.84
국가적	82	100	0.82
국기	84	100	0.84
국내	82	100	0.82
국내선	94	100	0.94
국내외	92	100	0.92
국립	100	100	1.0
국물	90	100	0.9
국민	84	100	0.84
국민적	79	100	0.79
국사	77	100	0.77
국산	93	100	0.93
국수	88	100	0.88
국어	68	100	0.68
국왕	100	100	1.0
국적	78	100	0.78
국제	100	100	1.0
국제선	88	100	0.88
국제적	76	100	0.76
국제화	99	100	0.99
국회	99	100	0.99
국회의원	82	100	0.82
군대	83	100	0.83
군사	80	100	0.8
군인	85	100	0.85
궁극적	81	100	0.81
권리	45	100	0.45
권위	80	100	0.8
권투	99	100	0.99
귀가	74	100	0.74
귀국	93	100	0.93
귀신	94	100	0.94
귓속	98	100	0.98
규모	80	100	0.8
규정	99	100	0.99
규칙	100	100	1.0
규칙적	85	100	0.85
균형	88	100	0.88
그간	75	100	0.75
그날	100	100	1.0
그늘	100	100	1.0
그다음	77	100	0.77
그동안	79	100	0.79
그때	100	100	1.0
그래픽	100	100	1.0
그룹	100	100	1.0
그릇	100	100	1.0
그리움	93	100	0.93
그림	100	100	1.0
그림자	83	100	0.83
그사이	85	100	0.85
그저께	100	100	1.0
그전	94	100	0.94
그중	88	100	0.88
그해	95	100	0.95
극복	88	100	0.88
극작가	82	100	0.82
극장	70	100	0.7
근거	77	100	0.77
근교	97	100	0.97
근래	100	100	1.0
근로	45	100	0.45
근로자	82	100	0.82
근무	76	100	0.76
근본	84	100	0.84
근본적	74	100	0.74
근원	85	100	0.85
근육	97	100	0.97
근처	74	100	0.74
글쓰기	88	100	0.88
글씨	0	100	0.0
글자	81	100	0.81
금강산	92	100	0.92
금고	80	100	0.8
금년	100	100	1.0
금메달	52	100	0.52
금액	100	100	1.0
금연	86	100	0.86
금요일	96	100	0.96
금지	88	100	0.88
긍정적	78	100	0.78
기간	83	100	0.83
기계	73	100	0.73
기관	74	100	0.74
기구	78	100	0.78
기기	85	100	0.85
기념	100	100	1.0
기념일	100	100	1.0
기념품	100	100	1.0
기능	49	100	0.49
기대	89	100	0.89
기도	85	100	0.85
기독교	95	100	0.95
기둥	100	100	1.0
기록	100	100	1.0
기름	100	100	1.0
기법	38	100	0.38
기본	86	100	0.86
기본적	80	100	0.8
기분	89	100	0.89
기쁨	100	100	1.0
기사	84	100	0.84
기성	78	100	0.78
기성세대	86	100	0.86
기숙사	75	100	0.75
기술	89	100	0.89
기술자	85	100	0.85
기억	100	100	1.0
기업	100	100	1.0
기업인	83	100	0.83
기여	87	100	0.87
기온	97	100	0.97
기운	100	100	1.0
기원	81	100	0.81
기원전	94	100	0.94
기자	87	100	0.87
기적	71	100	0.71
기준	100	100	1.0
기차	63	100	0.63
기초	80	100	0.8
기초적	87	100	0.87
기침	64	100	0.64
기타	75	100	0.75
기호	86	100	0.86
기혼	100	100	1.0
기회	99	100	0.99
기획	100	100	1.0
기후	79	100	0.79
긴급	100	100	1.0
긴장	81	100	0.81
긴장감	100	100	1.0
길가	81	100	0.81
길거리	44	100	0.44
길이	83	100	0.83
김밥	21	100	0.21
김치	62	100	0.62
김치찌개	97	100	0.97
김포공항	100	100	1.0
깊이	91	100	0.91
까닭	100	100	1.0
까만색	61	100	0.61
까치	73	100	0.73
깍두기	82	100	0.82
깡패	0	100	0.0
깨달음	81	100	0.81
깨소금	89	100	0.89
껍질	96	100	0.96
꼬리	54	100	0.54
꼬마	56	100	0.56
꼭대기	83	100	0.83
꽃씨	0	100	0.0
꽃잎	100	100	1.0
꾸중	87	100	0.87
꿈속	98	100	0.98
나들이	80	100	0.8
나라	84	100	0.84
나머지	92	100	0.92
나무	67	100	0.67
나물	89	100	0.89
나뭇가지	88	100	0.88
나뭇잎	100	100	1.0
나비	93	100	0.93
나이	84	100	0.84
나중	88	100	0.88
나침반	86	100	0.86
나흘	100	100	1.0
낙엽	100	100	1.0
낚시	81	100	0.81
낚시꾼	100	100	1.0
낚싯대	87	100	0.87
난리	43	100	0.43
난방	92	100	0.92
날개	100	100	1.0
날씨	0	100	0.0
날짜	98	100	0.98
남녀	100	100	1.0
남대문	92	100	0.92
남대문시장	73	100	0.73
남동생	95	100	0.95
남매	67	100	0.67
남미	81	100	0.81
남부	89	100	0.89
남북	73	100	0.73
남산	95	100	0.95
남성	78	100	0.78
남자	89	100	0.89
남쪽	100	100	1.0
남편	99	100	0.99
남학생	91	100	0.91
낭비	81	100	0.81
낱말	65	100	0.65
내과	99	100	0.99
내년	100	100	1.0
내달	59	100	0.59
내부	92	100	0.92
내외	83	100	0.83
내용	80	100	0.8
내용물	92	100	0.92
내일	95	100	0.95
내적	83	100	0.83
내후년	100	100	1.0
냄비	85	100	0.85
냄새	62	100	0.62
냇물	93	100	0.93
냉동	85	100	0.85
냉면	97	100	0.97
냉방	95	100	0.95
냉장고	77	100	0.77
너머	77	100	0.77
