사용단어	가중치	사용횟수	단어승률
가게	94	100	0.94
가격	100	100	1.0
가구	88	100	0.88
가까이	82	100	0.82
가난	100	100	1.0
가능	52	100	0.52
가능성	87	100	0.87
가로	55	100	0.55
가로등	79	100	0.79
가로수	93	100	0.93
가루	100	100	1.0
가르침	73	100	0.73
가뭄	100	100	1.0
가방	92	100	0.92
가사	82	100	0.82
가상	83	100	0.83
가수	92	100	0.92
가스	87	100	0.87
가슴	100	100	1.0
가슴속	95	100	0.95
가요	88	100	0.88
가운데	100	100	1.0
가위	72	100	0.72
가을	100	100	1.0
가이드	100	100	1.0
가입	87	100	0.87
가입자	87	100	0.87
가장	81	100	0.81
가정	100	100	1.0
가정교사	81	100	0.81
가족	100	100	1.0
가죽	100	100	1.0
가지	93	100	0.93
가짜	98	100	0.98
가치	70	100	0.7
가치관	72	100	0.72
가톨릭	100	100	1.0
각각	100	100	1.0
각국	93	100	0.93
각오	75	100	0.75
각자	86	100	0.86
각종	85	100	0.85
간격	100	100	1.0
간부	89	100	0.89
간섭	100	100	1.0
간식	76	100	0.76
간장	74	100	0.74
간접	62	100	0.62
간접적	77	100	0.77
간판	100	100	1.0
간호	78	100	0.78
간호사	83	100	0.83
갈등	76	100	0.76
갈비	76	100	0.76
갈비탕	100	100	1.0
갈색	50	100	0.5
갈증	97	100	0.97
감각	100	100	1.0
감기	83	100	0.83
감독	86	100	0.86
감동	87	100	0.87
감동적	78	100	0.78
감사	84	100	0.84
감상	91	100	0.91
감소	94	100	0.94
감수성	82	100	0.82
감옥	100	100	1.0
감자	81	100	0.81
감정	98	100	0.98
감정적	76	100	0.76
강남	82	100	0.82
강당	100	100	1.0
강도	81	100	0.81
강물	93	100	0.93
강변	100	100	1.0
강북	62	100	0.62
강사	79	100	0.79
강수량	100	100	1.0
강아지	88	100	0.88
강원도	83	100	0.83
강의	94	100	0.94
강제	100	100	1.0
강조	90	100	0.9
갖가지	90	100	0.9
개개인	86	100	0.86
개구리	48	100	0.48
개나리	50	100	0.5
개미	78	100	0.78
개방	90	100	0.9
개별	100	100	1.0
개선	91	100	0.91
개성	75	100	0.75
개인	84	100	0.84
개인적	81	100	0.81
객관적	72	100	0.72
거리	53	100	0.53
거실	78	100	0.78
거액	100	100	1.0
거울	100	100	1.0
거짓	100	100	1.0
거짓말	71	100	0.71
거품	100	100	1.0
걱정	98	100	0.98
건강	89	100	0.89
건너	100	100	1.0
건너편	98	100	0.98
건넌방	90	100	0.9
건물	91	100	0.91
건설	73	100	0.73
건조	91	100	0.91
건축	100	100	1.0
걷기	85	100	0.85
걸음	81	100	0.81
검사	76	100	0.76
검은색	44	100	0.44
검정색	50	100	0.5
검토	77	100	0.77
게시판	100	100	1.0
게임	100	100	1.0
겨울	100	100	1.0
겨울철	100	100	1.0
겨자	89	100	0.89
견해	97	100	0.97
결과	99	100	0.99
결과적	75	100	0.75
결국	97	100	0.97
결론	100	100	1.0
결석	100	100	1.0
결승	96	100	0.96
결심	82	100	0.82
결정	99	100	0.99
결혼	100	100	1.0
결혼식	90	100	0.9
경계	68	100	0.68
경고	81	100	0.81
경기	86	100	0.86
경기도	85	100	0.85
경기장	80	100	0.8
경력	100	100	1.0
경복궁	100	100	1.0
경비	86	100	0.86
경상도	83	100	0.83
경영	82	100	0.82
경우	88	100	0.88
경쟁	100	100	1.0
경쟁력	100	100	1.0
경제	99	100	0.99
경제력	100	100	1.0
경제적	78	100	0.78
경제학	87	100	0.87
경주	88	100	0.88
경찰	100	100	1.0
경찰관	66	100	0.66
경찰서	87	100	0.87
경치	67	100	0.67
경향	100	100	1.0
경험	100	100	1.0
계곡	100	100	1.0
계단	88	100	0.88
계란	100	100	1.0
계산	92	100	0.92
계산기	91	100	0.91
계약	91	100	0.91
계절	98	100	0.98
계좌	93	100	0.93
계층	100	100	1.0
계획	100	100	1.0
고개	99	100	0.99
고객	100	100	1.0
고교	93	100	0.93
고구려	100	100	1.0
고구마	63	100	0.63
고궁	100	100	1.0
고급	100	100	1.0
고기	88	100	0.88
고등학교	96	100	0.96
고등학생	94	100	0.94
고려	100	100	1.0
고모	80	100	0.8
고모부	87	100	0.87
고무신	88	100	0.88
고민	84	100	0.84
고생	95	100	0.95
고속	98	100	0.98
고속도로	50	100	0.5
고속버스	81	100	0.81
고양이	85	100	0.85
고장	79	100	0.79
고전	93	100	0.93
고집	100	100	1.0
고추	61	100	0.61
고추장	82	100	0.82
고춧가루	100	100	1.0
고통	98	100	0.98
고함	100	100	1.0
고향	100	100	1.0
곡식	87	100	0.87
골목	65	100	0.65
골목길	100	100	1.0
골짜기	89	100	0.89
골치	72	100	0.72
골프	78	100	0.78
골프장	79	100	0.79
곳곳	100	100	1.0
공간	78	100	0.78
공개	98	100	0.98
공격	100	100	1.0
공공	92	100	0.92
공군	100	100	1.0
공급	100	100	1.0
공기	88	100	0.88
공동	81	100	0.81
공무원	84	100	0.84
공부	88	100	0.88
공사	75	100	0.75
공식	84	100	0.84
공식적	77	100	0.77
공업	100	100	1.0
공연	88	100	0.88
공연장	73	100	0.73
공원	86	100	0.86
공장	72	100	0.72
공주	91	100	0.91
공중	83	100	0.83
공중전화	99	100	0.99
공짜	96	100	0.96
공책	99	100	0.99
공통	98	100	0.98
공통적	80	100	0.8
공통점	74	100	0.74
공포	95	100	0.95
공항	100	100	1.0
공항버스	83	100	0.83
공해	98	100	0.98
공휴일	96	100	0.96
과거	84	100	0.84
과목	67	100	0.67
과외	82	100	0.82
과일	97	100	0.97
과자	73	100	0.73
과장	77	100	0.77
과정	98	100	0.98
과제	100	100	1.0
과학	77	100	0.77
과학자	85	100	0.85
과학적	79	100	0.79
관객	100	100	1.0
관계	63	100	0.63
관계자	89	100	0.89
관광	100	100	1.0
관광객	100	100	1.0
관광버스	85	100	0.85
관광지	93	100	0.93
관념	100	100	1.0
관람	100	100	1.0
관람객	100	100	1.0
관련	100	100	1.0
관리	48	100	0.48
관습	100	100	1.0
관심	78	100	0.78
관심사	85	100	0.85
관점	81	100	0.81
관찰	100	100	1.0
광경	78	100	0.78
광고	85	100	0.85
광장	81	100	0.81
광주	94	100	0.94
괴로움	95	100	0.95
교과서	84	100	0.84
교내	79	100	0.79
교대	92	100	0.92
교류	100	100	1.0
교문	90	100	0.9
교복	94	100	0.94
교사	84	100	0.84
교수	94	100	0.94
교실	79	100	0.79
교양	77	100	0.77
교외	82	100	0.82
교육	97	100	0.97
교육비	87	100	0.87
교육자	83	100	0.83
교장	69	100	0.69
교재	83	100	0.83
교직	97	100	0.97
교체	73	100	0.73
교통	99	100	0.99
교통사고	85	100	0.85
교포	86	100	0.86
교환	59	100	0.59
교회	100	100	1.0
교훈	0	100	0.0
구경	79	100	0.79
구두	62	100	0.62
구름	100	100	1.0
구멍	100	100	1.0
구별	100	100	1.0
구분	86	100	0.86
구석	100	100	1.0
구석구석	100	100	1.0
구성	80	100	0.8
구속	98	100	0.98
구역	100	100	1.0
구월	51	100	0.51
구입	83	100	0.83
구조	90	100	0.9
구청	49	100	0.49
구체적	80	100	0.8
국가	81	100	0.81
국가적	80	100	0.8
국기	85	100	0.85
국내	90	100	0.9
국내선	88	100	0.88
국내외	85	100	0.85
국립	100	100	1.0
국물	89	100	0.89
국민	89	100	0.89
국민적	88	100	0.88
국사	75	100	0.75
국산	95	100	0.95
국수	94	100	0.94
국어	56	100	0.56
국왕	100	100	1.0
국적	79	100	0.79
국제	99	100	0.99
국제선	95	100	0.95
국제적	80	100	0.8
국제화	100	100	1.0
국회	100	100	1.0
국회의원	85	100	0.85
군대	85	100	0.85
군사	82	100	0.82
군인	85	100	0.85
궁극적	78	100	0.78
권리	56	100	0.56
권위	78	100	0.78
권투	100	100	1.0
귀가	64	100	0.64
귀국	96	100	0.96
귀신	88	100	0.88
귓속	96	100	0.96
규모	83	100	0.83
규정	100	100	1.0
규칙	100	100	1.0
규칙적	76	100	0.76
균형	89	100	0.89
그간	75	100	0.75
그날	99	100	0.99
그늘	100	100	1.0
그다음	76	100	0.76
그동안	85	100	0.85
그때	100	100	1.0
그래픽	100	100	1.0
그룹	100	100	1.0
그릇	100	100	1.0
그리움	94	100	0.94
그림	100	100	1.0
그림자	74	100	0.74
그사이	87	100	0.87
그저께	100	100	1.0
그전	92	100	0.92
그중	91	100	0.91
그해	95	100	0.95
극복	94	100	0.94
극작가	70	100	0.7
극장	79	100	0.79
근거	84	100	0.84
근교	95	100	0.95
근래	100	100	1.0
근로	53	100	0.53
근로자	84	100	0.84
근무	71	100	0.71
근본	90	100	0.9
근본적	78	100	0.78
근원	90	100	0.9
근육	96	100	0.96
근처	73	100	0.73
글쓰기	83	100	0.83
글씨	0	100	0.0
글자	76	100	0.76
금강산	90	100	0.9
금고	85	100	0.85
금년	100	100	1.0
금메달	55	100	0.55
금액	100	100	1.0
금연	88	100	0.88
금요일	97	100	0.97
금지	90	100	0.9
긍정적	80	100	0.8
기간	78	100	0.78
기계	67	100	0.67
기관	67	100	0.67
기구	78	100	0.78
기기	86	100	0.86
기념	100	100	1.0
기념일	96	100	0.96
기념품	100	100	1.0
기능	41	100	0.41
기대	86	100	0.86
기도	88	100	0.88
기독교	97	100	0.97
기둥	100	100	1.0
기록	100	100	1.0
기름	100	100	1.0
기법	51	100	0.51
기본	85	100	0.85
기본적	80	100	0.8
기분	90	100	0.9
기쁨	100	100	1.0
기사	78	100	0.78
기성	83	100	0.83
기성세대	87	100	0.87
기숙사	82	100	0.82
기술	99	100	0.99
기술자	85	100	0.85
기억	100	100	1.0
기업	100	100	1.0
기업인	80	100	0.8
기여	87	100	0.87
기온	97	100	0.97
기운	99	100	0.99
기원	83	100	0.83
기원전	93	100	0.93
기자	83	100	0.83
기적	80	100	0.8
기준	100	100	1.0
기차	67	100	0.67
기초	89	100	0.89
기초적	84	100	0.84
기침	71	100	0.71
기타	64	100	0.64
기호	77	100	0.77
기혼	100	100	1.0
기회	100	100	1.0
기획	100	100	1.0
기후	78	100	0.78
긴급	100	100	1.0
긴장	79	100	0.79
긴장감	97	100	0.97
길가	76	100	0.76
길거리	50	100	0.5
길이	94	100	0.94
김밥	27	100	0.27
김치	78	100	0.78
