사용단어	가중치	사용횟수	단어승률
가게	87	100	0.87
가격	100	100	1.0
가구	85	100	0.85
가까이	92	100	0.92
가난	100	100	1.0
가능	52	100	0.52
가능성	76	100	0.76
가로	42	100	0.42
가로등	80	100	0.8
가로수	90	100	0.9
가루	100	100	1.0
가르침	68	100	0.68
가뭄	100	100	1.0
가방	90	100	0.9
가사	71	100	0.71
가상	79	100	0.79
가수	89	100	0.89
가스	88	100	0.88
가슴	100	100	1.0
가슴속	95	100	0.95
가요	84	100	0.84
가운데	100	100	1.0
가위	60	100	0.6
가을	100	100	1.0
가이드	100	100	1.0
가입	85	100	0.85
가입자	88	100	0.88
가장	68	100	0.68
가정	100	100	1.0
가정교사	83	100	0.83
가족	100	100	1.0
가죽	100	100	1.0
가지	85	100	0.85
가짜	97	100	0.97
가치	66	100	0.66
가치관	74	100	0.74
가톨릭	100	100	1.0
각각	100	100	1.0
각국	91	100	0.91
각오	77	100	0.77
각자	84	100	0.84
각종	77	100	0.77
간격	100	100	1.0
간부	94	100	0.94
간섭	100	100	1.0
간식	83	100	0.83
간장	72	100	0.72
간접	63	100	0.63
간접적	73	100	0.73
간판	100	100	1.0
간호	78	100	0.78
간호사	71	100	0.71
갈등	86	100	0.86
갈비	87	100	0.87
갈비탕	100	100	1.0
갈색	59	100	0.59
갈증	99	100	0.99
감각	99	100	0.99
감기	83	100	0.83
감독	80	100	0.8
감동	94	100	0.94
감동적	81	100	0.81
감사	84	100	0.84
감상	87	100	0.87
감소	89	100	0.89
감수성	83	100	0.83
감옥	100	100	1.0
감자	85	100	0.85
감정	98	100	0.98
감정적	82	100	0.82
강남	88	100	0.88
강당	100	100	1.0
강도	79	100	0.79
강물	95	100	0.95
강변	99	100	0.99
강북	60	100	0.6
강사	79	100	0.79
강수량	100	100	1.0
강아지	89	100	0.89
강원도	78	100	0.78
강의	93	100	0.93
강제	100	100	1.0
강조	84	100	0.84
갖가지	87	100	0.87
개개인	76	100	0.76
개구리	55	100	0.55
개나리	50	100	0.5
개미	78	100	0.78
개방	91	100	0.91
개별	100	100	1.0
개선	92	100	0.92
개성	80	100	0.8
개인	87	100	0.87
개인적	82	100	0.82
객관적	81	100	0.81
거리	59	100	0.59
거실	70	100	0.7
거액	100	100	1.0
거울	100	100	1.0
거짓	100	100	1.0
거짓말	59	100	0.59
거품	100	100	1.0
걱정	99	100	0.99
건강	91	100	0.91
건너	100	100	1.0
건너편	100	100	1.0
건넌방	92	100	0.92
건물	91	100	0.91
건설	77	100	0.77
건조	91	100	0.91
건축	99	100	0.99
걷기	81	100	0.81
걸음	80	100	0.8
검사	78	100	0.78
검은색	49	100	0.49
검정색	57	100	0.57
검토	72	100	0.72
게시판	100	100	1.0
게임	100	100	1.0
겨울	100	100	1.0
겨울철	100	100	1.0
겨자	82	100	0.82
견해	97	100	0.97
결과	100	100	1.0
결과적	76	100	0.76
결국	93	100	0.93
결론	100	100	1.0
결석	100	100	1.0
결승	92	100	0.92
결심	82	100	0.82
결정	100	100	1.0
결혼	100	100	1.0
결혼식	84	100	0.84
경계	69	100	0.69
경고	76	100	0.76
경기	84	100	0.84
경기도	84	100	0.84
경기장	70	100	0.7
경력	100	100	1.0
경복궁	100	100	1.0
경비	86	100	0.86
경상도	74	100	0.74
경영	91	100	0.91
경우	87	100	0.87
경쟁	100	100	1.0
경쟁력	100	100	1.0
경제	100	100	1.0
경제력	100	100	1.0
경제적	73	100	0.73
경제학	73	100	0.73
경주	90	100	0.9
경찰	100	100	1.0
경찰관	65	100	0.65
경찰서	76	100	0.76
경치	71	100	0.71
경향	100	100	1.0
경험	100	100	1.0
계곡	100	100	1.0
계단	93	100	0.93
계란	100	100	1.0
계산	95	100	0.95
계산기	87	100	0.87
계약	85	100	0.85
계절	97	100	0.97
계좌	96	100	0.96
계층	100	100	1.0
계획	100	100	1.0
고개	99	100	0.99
고객	100	100	1.0
고교	94	100	0.94
고구려	100	100	1.0
고구마	63	100	0.63
고궁	100	100	1.0
고급	100	100	1.0
고기	86	100	0.86
고등학교	95	100	0.95
고등학생	96	100	0.96
고려	100	100	1.0
고모	83	100	0.83
고모부	89	100	0.89
고무신	93	100	0.93
고민	82	100	0.82
고생	96	100	0.96
고속	98	100	0.98
고속도로	55	100	0.55
고속버스	84	100	0.84
고양이	88	100	0.88
고장	76	100	0.76
고전	97	100	0.97
고집	100	100	1.0
고추	70	100	0.7
고추장	81	100	0.81
고춧가루	100	100	1.0
고통	99	100	0.99
고함	100	100	1.0
고향	100	100	1.0
곡식	84	100	0.84
골목	73	100	0.73
골목길	100	100	1.0
골짜기	82	100	0.82
골치	72	100	0.72
골프	76	100	0.76
골프장	76	100	0.76
곳곳	100	100	1.0
공간	77	100	0.77
공개	96	100	0.96
공격	100	100	1.0
공공	92	100	0.92
공군	100	100	1.0
공급	100	100	1.0
공기	84	100	0.84
공동	93	100	0.93
공무원	91	100	0.91
공부	92	100	0.92
공사	81	100	0.81
공식	79	100	0.79
공식적	81	100	0.81
공업	100	100	1.0
공연	92	100	0.92
공연장	73	100	0.73
공원	83	100	0.83
공장	72	100	0.72
공주	90	100	0.9
공중	88	100	0.88
공중전화	98	100	0.98
공짜	97	100	0.97
공책	100	100	1.0
공통	100	100	1.0
공통적	77	100	0.77
공통점	80	100	0.8
공포	90	100	0.9
공항	100	100	1.0
공항버스	86	100	0.86
공해	98	100	0.98
공휴일	96	100	0.96
과거	84	100	0.84
과목	73	100	0.73
과외	86	100	0.86
과일	96	100	0.96
과자	82	100	0.82
과장	76	100	0.76
과정	98	100	0.98
과제	100	100	1.0
과학	88	100	0.88
과학자	73	100	0.73
과학적	85	100	0.85
관객	100	100	1.0
관계	66	100	0.66
관계자	88	100	0.88
관광	100	100	1.0
관광객	100	100	1.0
관광버스	87	100	0.87
관광지	94	100	0.94
관념	100	100	1.0
관람	100	100	1.0
관람객	100	100	1.0
관련	100	100	1.0
관리	56	100	0.56
관습	100	100	1.0
관심	87	100	0.87
관심사	74	100	0.74
관점	81	100	0.81
관찰	100	100	1.0
광경	75	100	0.75
광고	80	100	0.8
광장	81	100	0.81
광주	91	100	0.91
괴로움	93	100	0.93
교과서	81	100	0.81
교내	78	100	0.78
교대	87	100	0.87
교류	100	100	1.0
교문	89	100	0.89
교복	96	100	0.96
교사	81	100	0.81
교수	86	100	0.86
교실	80	100	0.8
교양	75	100	0.75
교외	91	100	0.91
교육	99	100	0.99
교육비	83	100	0.83
교육자	90	100	0.9
교장	81	100	0.81
교재	73	100	0.73
교직	97	100	0.97
교체	69	100	0.69
교통	99	100	0.99
교통사고	82	100	0.82
교포	82	100	0.82
교환	63	100	0.63
교회	98	100	0.98
교훈	0	100	0.0
구경	74	100	0.74
구두	61	100	0.61
구름	100	100	1.0
구멍	100	100	1.0
구별	100	100	1.0
구분	89	100	0.89
구석	100	100	1.0
구석구석	100	100	1.0
구성	79	100	0.79
구속	96	100	0.96
구역	100	100	1.0
구월	38	100	0.38
구입	79	100	0.79
구조	84	100	0.84
구청	52	100	0.52
구체적	72	100	0.72
국가	75	100	0.75
국가적	70	100	0.7
국기	86	100	0.86
국내	82	100	0.82
국내선	92	100	0.92
국내외	87	100	0.87
국립	100	100	1.0
국물	96	100	0.96
국민	81	100	0.81
국민적	74	100	0.74
국사	84	100	0.84
국산	93	100	0.93
국수	92	100	0.92
국어	54	100	0.54
국왕	100	100	1.0
국적	77	100	0.77
국제	100	100	1.0
국제선	92	100	0.92
국제적	83	100	0.83
국제화	100	100	1.0
국회	100	100	1.0
국회의원	93	100	0.93
군대	85	100	0.85
군사	81	100	0.81
군인	86	100	0.86
궁극적	82	100	0.82
권리	46	100	0.46
권위	81	100	0.81
권투	99	100	0.99
귀가	72	100	0.72
귀국	92	100	0.92
귀신	93	100	0.93
귓속	98	100	0.98
규모	72	100	0.72
규정	100	100	1.0
규칙	100	100	1.0
규칙적	80	100	0.8
균형	88	100	0.88
그간	77	100	0.77
그날	99	100	0.99
그늘	100	100	1.0
그다음	82	100	0.82
그동안	84	100	0.84
그때	100	100	1.0
그래픽	100	100	1.0
그룹	100	100	1.0
그릇	100	100	1.0
그리움	89	100	0.89
그림	100	100	1.0
그림자	83	100	0.83
그사이	84	100	0.84
그저께	100	100	1.0
그전	92	100	0.92
그중	92	100	0.92
그해	99	100	0.99
극복	93	100	0.93
극작가	76	100	0.76
극장	71	100	0.71
근거	84	100	0.84
근교	94	100	0.94
근래	100	100	1.0
근로	51	100	0.51
근로자	83	100	0.83
근무	74	100	0.74
근본	87	100	0.87
근본적	85	100	0.85
근원	83	100	0.83
근육	96	100	0.96
근처	80	100	0.8
글쓰기	89	100	0.89
글씨	0	100	0.0
글자	80	100	0.8
금강산	97	100	0.97
금고	79	100	0.79
금년	100	100	1.0
금메달	61	100	0.61
금액	100	100	1.0
금연	84	100	0.84
금요일	97	100	0.97
금지	92	100	0.92
긍정적	81	100	0.81
기간	78	100	0.78
기계	72	100	0.72
기관	75	100	0.75
기구	86	100	0.86
기기	83	100	0.83
기념	100	100	1.0
기념일	96	100	0.96
기념품	100	100	1.0
기능	58	100	0.58
기대	92	100	0.92
기도	87	100	0.87
기독교	95	100	0.95
기둥	100	100	1.0
기록	100	100	1.0
기름	100	100	1.0
기법	42	100	0.42
기본	88	100	0.88
기본적	84	100	0.84
기분	82	100	0.82
기쁨	100	100	1.0
기사	80	100	0.8
기성	81	100	0.81
기성세대	88	100	0.88
기숙사	80	100	0.8
기술	92	100	0.92
기술자	74	100	0.74
기억	100	100	1.0
기업	100	100	1.0
기업인	80	100	0.8
기여	87	100	0.87
기온	95	100	0.95
기운	99	100	0.99
기원	94	100	0.94
기원전	94	100	0.94
기자	83	100	0.83
기적	70	100	0.7
기준	100	100	1.0
기차	74	100	0.74
기초	84	100	0.84
기초적	76	100	0.76
기침	76	100	0.76
기타	58	100	0.58
기호	80	100	0.8
기혼	100	100	1.0
기회	100	100	1.0
기획	100	100	1.0
기후	87	100	0.87
긴급	100	100	1.0
긴장	71	100	0.71
긴장감	98	100	0.98
길가	73	100	0.73
길거리	46	100	0.46
길이	94	100	0.94
김밥	31	100	0.31
김치	66	100	0.66
김치찌개	99	100	0.99
김포공항	100	100	1.0
깊이	91	100	0.91
까닭	100	100	1.0
까만색	45	100	0.45
까치	67	100	0.67
깍두기	89	100	0.89
깡패	0	100	0.0
깨달음	76	100	0.76
깨소금	87	100	0.87
껍질	99	100	0.99
꼬리	41	100	0.41
꼬마	65	100	0.65
꼭대기	86	100	0.86
꽃씨	0	100	0.0
꽃잎	100	100	1.0
꾸중	91	100	0.91
꿈속	97	100	0.97
나들이	88	100	0.88
나라	82	100	0.82
나머지	93	100	0.93
나무	81	100	0.81
나물	90	100	0.9
나뭇가지	96	100	0.96
나뭇잎	100	100	1.0
나비	85	100	0.85
나이	83	100	0.83
나중	89	100	0.89
나침반	89	100	0.89
나흘	100	100	1.0
낙엽	100	100	1.0
낚시	81	100	0.81
낚시꾼	100	100	1.0
낚싯대	86	100	0.86
난리	55	100	0.55
난방	89	100	0.89
날개	95	100	0.95
날씨	0	100	0.0
날짜	98	100	0.98
남녀	100	100	1.0
남대문	95	100	0.95
남대문시장	76	100	0.76
남동생	93	100	0.93
남매	69	100	0.69
남미	83	100	0.83
남부	94	100	0.94
남북	61	100	0.61
남산	92	100	0.92
남성	79	100	0.79
남자	85	100	0.85
남쪽	100	100	1.0
남편	100	100	1.0
남학생	92	100	0.92
낭비	82	100	0.82
낱말	59	100	0.59
내과	99	100	0.99
내년	100	100	1.0
내달	55	100	0.55
내부	88	100	0.88
내외	79	100	0.79
내용	76	100	0.76
내용물	94	100	0.94
내일	94	100	0.94
내적	76	100	0.76
내후년	100	100	1.0
냄비	86	100	0.86
냄새	62	100	0.62
냇물	90	100	0.9
냉동	91	100	0.91
냉면	94	100	0.94
냉방	93	100	0.93
냉장고	87	100	0.87
너머	74	100	0.74
네거리	53	100	0.53
넥타이	89	100	0.89
노동	91	100	0.91
노동자	75	100	0.75
노란색	48	100	0.48
노래	100	100	1.0
노래방	88	100	0.88
노랫소리	54	100	0.54
노력	100	100	1.0
노선	94	100	0.94
노인	82	100	0.82
노트	0	100	0.0
녹색	52	100	0.52
녹음	88	100	0.88
녹차	66	100	0.66
녹화	100	100	1.0
논리	38	100	0.38
논리적	85	100	0.85
논문	92	100	0.92
논쟁	100	100	1.0
놀이	85	100	0.85
놀이터	0	100	0.0
농구	80	100	0.8
농담	95	100	0.95
농민	80	100	0.8
농부	89	100	0.89
농사	79	100	0.79
농사일	92	100	0.92
농산물	87	100	0.87
농업	100	100	1.0
농장	72	100	0.72
농촌	100	100	1.0
높이	88	100	0.88
누나	80	100	0.8
눈가	78	100	0.78
눈길	100	100	1.0
눈동자	89	100	0.89
눈물	91	100	0.91
눈병	100	100	1.0
눈빛	0	100	0.0
눈썹	100	100	1.0
눈앞	79	100	0.79
뉴스	85	100	0.85
뉴욕	100	100	1.0
느낌	100	100	1.0
늑대	92	100	0.92
능동적	78	100	0.78
능력	100	100	1.0
늦가을	100	100	1.0
다리	47	100	0.47
다방	91	100	0.91
다수	92	100	0.92
다양성	77	100	0.77
다음	85	100	0.85
다이어트	0	100	0.0
다툼	100	100	1.0
다행	100	100	1.0
단계	65	100	0.65
단골	99	100	0.99
단독	90	100	0.9
단맛	100	100	1.0
단순	100	100	1.0
단어	51	100	0.51
단위	76	100	0.76
단점	79	100	0.79
단지	86	100	0.86
단체	62	100	0.62
단추	70	100	0.7
단편	96	100	0.96
단풍	89	100	0.89
달걀	100	100	1.0
달러	100	100	1.0
달력	100	100	1.0
달리기	81	100	0.81
달빛	0	100	0.0
닭고기	92	100	0.92
담당	100	100	1.0
담당자	88	100	0.88
담배	86	100	0.86
담요	82	100	0.82
담임	100	100	1.0
답변	99	100	0.99
답장	78	100	0.78
닷새	64	100	0.64
당근	90	100	0.9
당시	77	100	0.77
당장	70	100	0.7
대가	75	100	0.75
대개	98	100	0.98
대구	85	100	0.85
대규모	78	100	0.78
대기	83	100	0.83
대기업	100	100	1.0
대낮	100	100	1.0
대다수	90	100	0.9
대답	99	100	0.99
대도시	76	100	0.76
대량	100	100	1.0
대륙	100	100	1.0
대문	87	100	0.87
대부분	77	100	0.77
대비	86	100	0.86
대사	83	100	0.83
대사관	73	100	0.73
대상자	87	100	0.87
대신	94	100	0.94
대응	100	100	1.0
대입	87	100	0.87
대전	95	100	0.95
대접	66	100	0.66
대중	94	100	0.94
대중교통	97	100	0.97
대중문화	100	100	1.0
대중적	76	100	0.76
대책	100	100	1.0
대출	98	100	0.98
대통령	100	100	1.0
대표	95	100	0.95
대표적	81	100	0.81
대학	86	100	0.86
대학교	96	100	0.96
대학교수	89	100	0.89
대학로	49	100	0.49
대학생	100	100	1.0
대학원	85	100	0.85
대한민국	94	100	0.94
대합실	79	100	0.79
대형	87	100	0.87
대화	99	100	0.99
대회	99	100	0.99
더위	76	100	0.76
덕분	85	100	0.85
덕수궁	100	100	1.0
덩어리	53	100	0.53
데이트	0	100	0.0
도구	87	100	0.87
도덕	81	100	0.81
도둑	100	100	1.0
도로	44	100	0.44
도마	70	100	0.7
도망	100	100	1.0
도서관	72	100	0.72
도시	82	100	0.82
도시락	100	100	1.0
도심	78	100	0.78
도움	93	100	0.93
도움말	59	100	0.59
도입	79	100	0.79
도자기	91	100	0.91
도장	73	100	0.73
도전	91	100	0.91
도중	91	100	0.91
도착	100	100	1.0
도쿄	100	100	1.0
독감	100	100	1.0
독립	100	100	1.0
독서	83	100	0.83
독일	97	100	0.97
독일어	61	100	0.61
독창적	76	100	0.76
돌멩이	85	100	0.85
동그라미	90	100	0.9
동기	85	100	0.85
동네	100	100	1.0
동대문	94	100	0.94
동대문시장	77	100	0.77
동료	100	100	1.0
동물	85	100	0.85
동물원	89	100	0.89
동부	91	100	0.91
동생	87	100	0.87
동서	78	100	0.78
동서남북	69	100	0.69
동시	83	100	0.83
동아리	52	100	0.52
동안	89	100	0.89
동양	76	100	0.76
동양인	81	100	0.81
동의	95	100	0.95
동작	77	100	0.77
동전	92	100	0.92
동쪽	100	100	1.0
동창	85	100	0.85
동포	89	100	0.89
동행	100	100	1.0
동화	100	100	1.0
동화책	98	100	0.98
돼지	89	100	0.89
돼지고기	86	100	0.86
된장	79	100	0.79
된장찌개	98	100	0.98
두께	100	100	1.0
두뇌	100	100	1.0
두려움	95	100	0.95
두부	85	100	0.85
두통	98	100	0.98
둥지	85	100	0.85
뒤쪽	100	100	1.0
뒤편	99	100	0.99
뒷골목	74	100	0.74
뒷모습	100	100	1.0
뒷문	98	100	0.98
뒷산	92	100	0.92
드라마	70	100	0.7
등록	100	100	1.0
등록금	88	100	0.88
등록증	98	100	0.98
등산	94	100	0.94
등산로	56	100	0.56
등장	79	100	0.79
디스크	74	100	0.74
디자이너	100	100	1.0
디자인	85	100	0.85
따님	100	100	1.0
딸기	87	100	0.87
딸아이	82	100	0.82
땅바닥	100	100	1.0
땅속	93	100	0.93
땅콩	100	100	1.0
떡국	96	100	0.96
떡볶이	81	100	0.81
뚜껑	100	100	1.0
뜻밖	100	100	1.0
라디오	73	100	0.73
라면	99	100	0.99
라운드	100	100	1.0
라이벌	100	100	1.0
라이터	0	100	0.0
라인	87	100	0.87
