사용단어	가중치	사용횟수	단어승률
가감	10	20	0.5
가감산	9	20	0.45
가게	11	20	0.55
가게문	9	20	0.45
가겟방	11	20	0.55
가격	6	20	0.3
가격결정론	9	20	0.45
가격경쟁력	8	20	0.4
가격대	7	20	0.35
가격수준	4	20	0.2
가격인상	7	20	0.35
가격자유화	8	20	0.4
가결	8	20	0.4
가계	7	20	0.35
가계대출	7	20	0.35
가계부	7	20	0.35
가계비	7	20	0.35
가곡	6	20	0.3
가공	9	20	0.45
가공업	8	20	0.4
가관	7	20	0.35
가교	6	20	0.3
가구	6	20	0.3
가구점	8	20	0.4
가극	7	20	0.35
가금	9	20	0.45
가급	5	20	0.25
가까이	8	20	0.4
가나무	8	20	0.4
가난	7	20	0.35
가난뱅이	5	20	0.25
가내	8	20	0.4
가내공업	5	20	0.25
가는소금	10	20	0.5
가늠	8	20	0.4
가능	6	20	0.3
가능성	7	20	0.35
가닥	9	20	0.45
가담	12	20	0.6
가당연유	6	20	0.3
가도	12	20	0.6
가독성	9	20	0.45
가동	7	20	0.35
가두	9	20	0.45
가두캠페인	8	20	0.4
가드	7	20	0.35
가든파티	5	20	0.25
가등	5	20	0.25
가락	8	20	0.4
가락국수	4	20	0.2
가락지	7	20	0.35
가랑이	5	20	0.25
가랑잎	10	20	0.5
가래	6	20	0.3
가래단속곳	8	20	0.4
가래톳	20	20	1
가랭이	6	20	0.3
가량	9	20	0.45
가례	3	20	0.15
가로	9	20	0.45
가로등	8	20	0.4
가로세로	12	20	0.6
가로수	6	20	0.3
가로줄눈	8	20	0.4
가루	10	20	0.5
가루뿌리개	7	20	0.35
가루우유	7	20	0.35
가르침	10	20	0.5
가름	8	20	0.4
가름도움줄기	8	20	0.4
가리	5	20	0.25
가리개	11	20	0.55
가리마	8	20	0.4
가마	9	20	0.45
가마니	9	20	0.45
가마니바늘	7	20	0.35
가마솥	6	20	0.3
가마우지	9	20	0.45
가망	10	20	0.5
가매장	9	20	0.45
가맹	9	20	0.45
가면	3	20	0.15
가면극	9	20	0.45
가면무	7	20	0.35
가면무도	6	20	0.3
가면무도회	11	20	0.55
가명	7	20	0.35
가묘	8	20	0.4
가무	8	20	0.4
가문	8	20	0.4
가문비나무	6	20	0.3
가물	9	20	0.45
가물치	12	20	0.6
가뭄	20	20	1
가뭄더위	7	20	0.35
가미	9	20	0.45
가발	8	20	0.4
가방	10	20	0.5
가변	6	20	0.3
가보	5	20	0.25
가봉	7	20	0.35
가부	9	20	0.45
가부장	9	20	0.45
가불	8	20	0.4
가사	4	20	0.2
가사노동	12	20	0.6
가사부담	10	20	0.5
가산	6	20	0.3
가상	8	20	0.4
가설	9	20	0.45
가설극장	9	20	0.45
가성	7	20	0.35
가세	11	20	0.55
가속	7	20	0.35
가속도	4	20	0.2
가솔린	7	20	0.35
가수	8	20	0.4
가스	5	20	0.25
가스계량기	8	20	0.4
가스라이터	7	20	0.35
가스레인지	9	20	0.45
가스마스크	7	20	0.35
가스스토브	5	20	0.25
가스오븐레인지	9	20	0.45
가슴	17	20	0.85
가슴근육	9	20	0.45
가슴둘레	5	20	0.25
가슴속	6	20	0.3
가슴팍	20	20	1
가슴패기	5	20	0.25
가습기	11	20	0.55
가시	6	20	0.3
가시덤불	6	20	0.3
가식	10	20	0.5
가신	9	20	0.45
가십	8	20	0.4
가압	9	20	0.45
가야금	7	20	0.35
가얏고	5	20	0.25
가언	13	20	0.65
가업	12	20	0.6
가연	6	20	0.3
가연성	9	20	0.45
가열	11	20	0.55
가오리	7	20	0.35
가옥	8	20	0.4
가옥대장	6	20	0.3
가외	9	20	0.45
가요	9	20	0.45
가용	9	20	0.45
가운	6	20	0.3
가운데	8	20	0.4
가운데뜰	9	20	0.45
가운데어머니	12	20	0.6
가운데창자	6	20	0.3
가위	11	20	0.55
가위다리봉사	6	20	0.3
가위다리양자	7	20	0.35
가위바위보	12	20	0.6
가위질사위	4	20	0.2
가을	9	20	0.45
가을걷이	7	20	0.35
가을나들이	11	20	0.55
가을바람	11	20	0.55
가을운동회	7	20	0.35
가을철	13	20	0.65
가을하늘	9	20	0.45
가이드	11	20	0.55
가이드북	12	20	0.6
가인	6	20	0.3
가입	9	20	0.45
가입비	8	20	0.4
가입자	10	20	0.5
가자미	8	20	0.4
가작	7	20	0.35
가장	4	20	0.2
가장이	12	20	0.6
가장자리	13	20	0.65
가장행렬	11	20	0.55
가재	6	20	0.3
가전	12	20	0.6
가전제품	7	20	0.35
가정	6	20	0.3
가정교육	10	20	0.5
가정부	7	20	0.35
가정불화	8	20	0.4
가정통신	9	20	0.45
가정통신문	6	20	0.3
가정파괴	7	20	0.35
가정파탄	10	20	0.5
가정폭력	11	20	0.55
가정환경	5	20	0.25
가제	8	20	0.4
가족	5	20	0.25
가족계획	7	20	0.35
가족공동체	9	20	0.45
가족관계	7	20	0.35
가족노동	10	20	0.5
가족농업	7	20	0.35
가족력	11	20	0.55
가족료양권	10	20	0.5
가족묘	8	20	0.4
가족법	10	20	0.5
가족사	7	20	0.35
가족사진	9	20	0.45
가족생활	5	20	0.25
가족석	10	20	0.5
가족설	4	20	0.2
가족식당	8	20	0.4
가족써클	8	20	0.4
가족여행	8	20	0.4
가족오락회	7	20	0.35
가족용	13	20	0.65
가족적	7	20	0.35
가족주의	10	20	0.5
가족주의적	7	20	0.35
가족탕	10	20	0.5
가족회	5	20	0.25
가족휴양	8	20	0.4
가족휴양각	10	20	0.5
가존	9	20	0.45
가졸업	8	20	0.4
가종	11	20	0.55
가종피	12	20	0.6
가좌	4	20	0.2
가좌전	8	20	0.4
가좌책	4	20	0.2
가죄	6	20	0.3
가주거	7	20	0.35
가주권	10	20	0.5
가주서	6	20	0.3
가주소	5	20	0.25
가주어	8	20	0.4
가죽	10	20	0.5
가죽갈퀴지의	10	20	0.5
가죽고리	5	20	0.25
가죽광택기	8	20	0.4
가죽깍기	10	20	0.5
가죽나무	5	20	0.25
가죽나무고치나방	7	20	0.35
가죽나무껍질밤나방	7	20	0.35
가죽나무누에나방	6	20	0.3
가죽나무산누에나방	6	20	0.3
가죽단백질	7	20	0.35
가죽방패지의	14	20	0.7
가죽배	15	20	0.75
가죽붙임	10	20	0.5
가죽숫돌	7	20	0.35
가죽신	6	20	0.3
가죽옷지의	11	20	0.55
가죽위	12	20	0.6
가죽이김	7	20	0.35
가죽이김약	8	20	0.4
가죽지의	8	20	0.4
가죽집	9	20	0.45
가죽집말	7	20	0.35
가죽채	8	20	0.4
가죽피	11	20	0.55
가죽피리	9	20	0.45
가죽혁	8	20	0.4
가죽혹버섯	9	20	0.45
가중	12	20	0.6
가중감경	6	20	0.3
가중값	8	20	0.4
가중범	9	20	0.45
가중주의	12	20	0.6
가중차제	4	20	0.2
가중치	7	20	0.35
가중형	8	20	0.4
가증	11	20	0.55
가증금	5	20	0.25
가증률	7	20	0.35
