사용단어	가중치	사용횟수	단어승률
가감	6	20	0.3
가감산	9	20	0.45
가게	11	20	0.55
가게문	7	20	0.35
가겟방	10	20	0.5
가격	10	20	0.5
가격결정론	8	20	0.4
가격경쟁력	7	20	0.35
가격대	5	20	0.25
가격수준	4	20	0.2
가격인상	10	20	0.5
가격자유화	6	20	0.3
가결	7	20	0.35
가계	9	20	0.45
가계대출	10	20	0.5
가계부	5	20	0.25
가계비	10	20	0.5
가곡	11	20	0.55
가공	4	20	0.2
가공업	10	20	0.5
가관	5	20	0.25
가교	12	20	0.6
가구	9	20	0.45
가구점	7	20	0.35
가극	6	20	0.3
가금	7	20	0.35
가급	7	20	0.35
가까이	7	20	0.35
가나무	11	20	0.55
가난	12	20	0.6
가난뱅이	6	20	0.3
가내	10	20	0.5
가내공업	9	20	0.45
가는소금	10	20	0.5
가늠	6	20	0.3
가능	10	20	0.5
가능성	12	20	0.6
가닥	8	20	0.4
가담	3	20	0.15
가당연유	6	20	0.3
가도	9	20	0.45
가독성	7	20	0.35
가동	7	20	0.35
가두	7	20	0.35
가두캠페인	2	20	0.1
가드	7	20	0.35
가든파티	6	20	0.3
가등	9	20	0.45
가락	12	20	0.6
가락국수	7	20	0.35
가락지	8	20	0.4
가랑이	10	20	0.5
가랑잎	7	20	0.35
가래	6	20	0.3
가래단속곳	9	20	0.45
가래톳	20	20	1
가랭이	4	20	0.2
가량	7	20	0.35
가례	7	20	0.35
가로	5	20	0.25
가로등	9	20	0.45
가로세로	7	20	0.35
가로수	9	20	0.45
가로줄눈	4	20	0.2
가루	10	20	0.5
가루뿌리개	6	20	0.3
가루우유	6	20	0.3
가르침	10	20	0.5
가름	7	20	0.35
가름도움줄기	8	20	0.4
가리	8	20	0.4
가리개	8	20	0.4
가리마	10	20	0.5
가마	10	20	0.5
가마니	12	20	0.6
가마니바늘	6	20	0.3
가마솥	6	20	0.3
가마우지	5	20	0.25
가망	10	20	0.5
가매장	5	20	0.25
가맹	11	20	0.55
가면	9	20	0.45
가면극	7	20	0.35
가면무	11	20	0.55
가면무도	5	20	0.25
가면무도회	7	20	0.35
가명	11	20	0.55
가묘	8	20	0.4
가무	9	20	0.45
가문	7	20	0.35
가문비나무	11	20	0.55
가물	10	20	0.5
가물치	5	20	0.25
가뭄	20	20	1
가뭄더위	5	20	0.25
가미	11	20	0.55
가발	5	20	0.25
가방	8	20	0.4
가변	12	20	0.6
가보	6	20	0.3
가봉	7	20	0.35
가부	7	20	0.35
가부장	7	20	0.35
가불	9	20	0.45
가사	7	20	0.35
가사노동	9	20	0.45
가사부담	11	20	0.55
가산	7	20	0.35
가상	6	20	0.3
가설	11	20	0.55
가설극장	6	20	0.3
가성	7	20	0.35
가세	9	20	0.45
가속	11	20	0.55
가속도	11	20	0.55
가솔린	7	20	0.35
가수	11	20	0.55
가스	7	20	0.35
가스계량기	7	20	0.35
가스라이터	8	20	0.4
가스레인지	9	20	0.45
가스마스크	12	20	0.6
가스스토브	6	20	0.3
가스오븐레인지	11	20	0.55
가슴	12	20	0.6
가슴근육	8	20	0.4
가슴둘레	11	20	0.55
가슴속	6	20	0.3
가슴팍	20	20	1
가슴패기	7	20	0.35
가습기	9	20	0.45
가시	5	20	0.25
가시덤불	8	20	0.4
가식	7	20	0.35
가신	9	20	0.45
가십	9	20	0.45
가압	10	20	0.5
가야금	8	20	0.4
가얏고	8	20	0.4
가언	10	20	0.5
가업	5	20	0.25
가연	11	20	0.55
가연성	10	20	0.5
가열	6	20	0.3
가오리	8	20	0.4
가옥	6	20	0.3
가옥대장	12	20	0.6
가외	7	20	0.35
가요	8	20	0.4
가용	8	20	0.4
가운	9	20	0.45
가운데	9	20	0.45
가운데뜰	8	20	0.4
가운데어머니	9	20	0.45
가운데창자	10	20	0.5
가위	7	20	0.35
가위다리봉사	5	20	0.25
