사용단어	가중치	사용횟수	단어승률
가감	0	1	0
가감산	1	1	1
가게	0	1	0
가게문	0	1	0
가겟방	0	1	0
가격	1	1	1
가격결정론	1	1	1
가격경쟁력	0	1	0
가격대	0	1	0
가격수준	1	1	1
가격인상	1	1	1
가격자유화	0	1	0
가결	1	1	1
가계	0	1	0
가계대출	0	1	0
가계부	0	1	0
가계비	1	1	1
가곡	0	1	0
가공	1	1	1
가공업	1	1	1
가관	0	1	0
가교	0	1	0
가구	1	1	1
가구점	0	1	0
가극	0	1	0
가금	1	1	1
가급	0	1	0
가까이	0	1	0
가나무	1	1	1
가난	1	1	1
가난뱅이	1	1	1
가내	1	1	1
가내공업	0	1	0
가는소금	1	1	1
가늠	0	1	0
가능	0	1	0
가능성	1	1	1
가닥	1	1	1
가담	0	1	0
가당연유	1	1	1
가도	1	1	1
가독성	1	1	1
가동	0	1	0
가두	1	1	1
가두캠페인	1	1	1
가드	0	1	0
가든파티	0	1	0
가등	0	1	0
가락	0	1	0
가락국수	0	1	0
가락지	1	1	1
가랑이	1	1	1
가랑잎	1	1	1
가래	0	1	0
가래단속곳	0	1	0
가래톳	1	1	1
가랭이	0	1	0
가량	1	1	1
가례	0	1	0
가로	1	1	1
가로등	0	1	0
가로세로	1	1	1
가로수	1	1	1
가로줄눈	1	1	1
가루	0	1	0
가루뿌리개	0	1	0
가루우유	0	1	0
가르침	0	1	0
가름	1	1	1
가름도움줄기	1	1	1
가리	0	1	0
가리개	0	1	0
가리마	0	1	0
가마	1	1	1
가마니	0	1	0
가마니바늘	0	1	0
가마솥	0	1	0
가마우지	0	1	0
가망	1	1	1
가매장	1	1	1
가맹	1	1	1
가면	1	1	1
가면극	0	1	0
가면무	1	1	1
가면무도	0	1	0
가면무도회	1	1	1
가명	0	1	0
가묘	1	1	1
가무	1	1	1
가문	1	1	1
가문비나무	1	1	1
가물	0	1	0
가물치	0	1	0
가뭄	1	1	1
가뭄더위	0	1	0
가미	0	1	0
가발	1	1	1
가방	0	1	0
가변	1	1	1
가보	1	1	1
가봉	0	1	0
가부	1	1	1
가부장	0	1	0
가불	0	1	0
가사	0	1	0
가사노동	0	1	0
가사부담	0	1	0
가산	0	1	0
가상	0	1	0
가설	0	1	0
가설극장	0	1	0
가성	0	1	0
가세	0	1	0
가속	1	1	1
가속도	0	1	0
가솔린	1	1	1
가수	0	1	0
가스	1	1	1
가스계량기	1	1	1
가스라이터	0	1	0
가스레인지	0	1	0
가스마스크	1	1	1
가스스토브	0	1	0
가스오븐레인지	0	1	0
가슴	0	1	0
가슴근육	0	1	0
가슴둘레	0	1	0
가슴속	1	1	1
가슴팍	1	1	1
가슴패기	0	1	0
가습기	0	1	0
가시	0	1	0
가시덤불	0	1	0
가식	1	1	1
가신	1	1	1
가십	0	1	0
가압	1	1	1
가야금	1	1	1
가얏고	1	1	1
가언	1	1	1
가업	1	1	1
가연	0	1	0
가연성	1	1	1
가열	0	1	0
가오리	0	1	0
가옥	1	1	1
가옥대장	1	1	1
가외	0	1	0
가요	1	1	1
가용	1	1	1
가운	0	1	0
가운데	1	1	1
가운데뜰	1	1	1
가운데어머니	0	1	0
가운데창자	0	1	0
가위	0	1	0
가위다리봉사	1	1	1
가위다리양자	0	1	0
가위바위보	0	1	0
가위질사위	0	1	0
가을	0	1	0
가을걷이	0	1	0
가을나들이	0	1	0
가을바람	1	1	1
가을운동회	0	1	0
가을철	1	1	1
가을하늘	0	1	0
가이드	1	1	1
가이드북	1	1	1
가인	0	1	0
가입	0	1	0
가입비	0	1	0
가입자	0	1	0
가자미	0	1	0
가작	1	1	1
가장	0	1	0
가장이	1	1	1
가장자리	0	1	0
가장행렬	1	1	1
가재	1	1	1
가전	1	1	1
가전제품	1	1	1
가정	1	1	1
가정교육	1	1	1
가정부	0	1	0
가정불화	0	1	0
가정통신	1	1	1
가정통신문	0	1	0
가정파괴	1	1	1
가정파탄	0	1	0
가정폭력	1	1	1
가정환경	1	1	1
가제	0	1	0
가족	0	1	0
가족계획	1	1	1
가족공동체	0	1	0
가족관계	1	1	1
가족노동	0	1	0
가족농업	1	1	1
가족력	1	1	1
가족료양권	0	1	0
가족묘	1	1	1
가족법	1	1	1
가족사	0	1	0
가족사진	1	1	1
가족생활	1	1	1
가족석	0	1	0
가족설	0	1	0
가족식당	0	1	0
가족써클	0	1	0
가족여행	1	1	1
가족오락회	1	1	1
가족용	1	1	1
가족적	1	1	1
가족주의	1	1	1
가족주의적	1	1	1
가족탕	1	1	1
가족회	0	1	0
가족휴양	0	1	0
가족휴양각	0	1	0
가존	0	1	0
가졸업	0	1	0
가종	0	1	0
가종피	0	1	0
가좌	0	1	0
가좌전	1	1	1
가좌책	0	1	0
가죄	1	1	1
가주거	1	1	1
가주권	1	1	1
가주서	1	1	1
가주소	1	1	1
가주어	1	1	1
가죽	1	1	1
가죽갈퀴지의	1	1	1
가죽고리	1	1	1
가죽광택기	0	1	0
가죽깍기	0	1	0
가죽나무	1	1	1
가죽나무고치나방	0	1	0
가죽나무껍질밤나방	0	1	0
가죽나무누에나방	1	1	1
가죽나무산누에나방	1	1	1
가죽단백질	1	1	1
가죽방패지의	1	1	1
가죽배	1	1	1
가죽붙임	1	1	1
가죽숫돌	1	1	1
가죽신	0	1	0
가죽옷지의	0	1	0
가죽위	1	1	1
가죽이김	1	1	1
가죽이김약	0	1	0
가죽지의	0	1	0
가죽집	0	1	0
가죽집말	1	1	1
가죽채	0	1	0
가죽피	0	1	0
가죽피리	1	1	1
가죽혁	0	1	0
가죽혹버섯	1	1	1
가중	0	1	0
가중감경	0	1	0
가중값	0	1	0
가중범	0	1	0
가중주의	1	1	1
가중차제	1	1	1
가중치	1	1	1
가중형	0	1	0
가증	1	1	1
가증금	1	1	1
가증률	0	1	0
가지	0	1	0
가지가위	1	1	1
가지가지	0	1	0
가지각색	1	1	1
가지개곽향	0	1	0
가지검댕이증	1	1	1
가지게	0	1	0
가지고르기	1	1	1
가지고비	0	1	0
가지고비고사리	1	1	1
가지곡정초	1	1	1
가지골	0	1	0
가지관	0	1	0
가지괭이눈	0	1	0
가지구이	0	1	0
가지굴	1	1	1
가지급	1	1	1
가지급금	1	1	1
가지기	1	1	1
가지기도	1	1	1
가지김치	0	1	0
가지꽂이	1	1	1
가지꽃지의	1	1	1
가지나무좀	1	1	1
가지나물	1	1	1
가지노리개	0	1	0
가지누름적	1	1	1
가지다듬기	1	1	1
가지더부살이	0	1	0
가지도	1	1	1
가지돌꽃	1	1	1
가지돌연변이	1	1	1
가지런할제	0	1	0
가지마름병	0	1	0
가지만지	0	1	0
가지말랭이	1	1	1
가지맥	1	1	1
가지모기르기	1	1	1
가지문	1	1	1
가지물길	0	1	0
가지바늘	1	1	1
가지번호	1	1	1
가지별꽃	0	1	0
가지복수초	1	1	1
가지불	1	1	1
가지비틀기	0	1	0
가지뽕	1	1	1
가지뽕누에치기	0	1	0
가지뽕따기	1	1	1
가지뿌리	0	1	0
가지뿔들양	0	1	0
가지산꽃다지	1	1	1
가지산문	1	1	1
가지산적	0	1	0
가지산파	0	1	0
가지삿갓사초	0	1	0
가지색	0	1	0
가지솎음	0	1	0
가지송라	0	1	0
가지송이풀	1	1	1
가지신	1	1	1
가지실말	1	1	1
가지역병	0	1	0
가지자르기	1	1	1
가지장아찌	1	1	1
가지적	0	1	0
가지전	0	1	0
가지절임	1	1	1
가지조이기	0	1	0
가지줄	0	1	0
가지짠지	1	1	1
가지찜	1	1	1
가지찬국	0	1	0
가지창	1	1	1
가지치기	1	1	1
가지톱	0	1	0
가지페	0	1	0
가지회	1	1	1
가지휘여주기	0	1	0
가지흑고병	1	1	1
가직	1	1	1
가진대이름씨	1	1	1
가진월	0	1	0
가질	0	1	0
가짐	1	1	1
가짐새	1	1	1
가집	0	1	0
가집장	1	1	1
가집행	0	1	0
가짓과	0	1	0
가짓말	0	1	0
가짓말쟁이	0	1	0
가짓부렁	1	1	1
가짓부렁이	1	1	1
가짓빛	0	1	0
가짓수	1	1	1
가짓잎괭이	0	1	0
가짓잎쌈	1	1	1
가짓줄	1	1	1
가징	1	1	1
가짜	1	1	1
가짜결핵	1	1	1
가짜도하장	0	1	0
가짜동자	0	1	0
가짜동지	0	1	0
가짜목소리	0	1	0
가짜미끼	0	1	0
가짜미친개병	1	1	1
가짜배기	1	1	1
가짜속살	1	1	1
가짜송진홈	0	1	0
가짜어사	0	1	0
가짜줄기	1	1	1
가짜풍	0	1	0
가쪽복사	0	1	0
가차	1	1	1
가차사	1	1	1
가차압	1	1	1
가차자	0	1	0
가차하	0	1	0
가착	0	1	0
가찬	1	1	1
가찰	1	1	1
가창	0	1	0
가창대	1	1	1
가창력	1	1	1
가창법	1	1	1
가창시위	1	1	1
가창오리	0	1	0
가창행진	1	1	1
가채	1	1	1
가채권	1	1	1
가책	1	1	1
가처분	0	1	0
가천	1	1	1
가철	0	1	0
가철본	1	1	1
가첨	1	1	1
가첨문서	0	1	0
가첨밥	0	1	0
가첨잠	0	1	0
가첩	1	1	1
가청	1	1	1
가청도	0	1	0
가청음	0	1	0
가체	1	1	1
가체포	0	1	0
가체포장	1	1	1
가초노	0	1	0
가촉	1	1	1
가촌	1	1	1
가추	0	1	0
가추렴	0	1	0
가축	0	1	0
가축농	1	1	1
가축단위	0	1	0
가축방역소	1	1	1
가축법	1	1	1
가축병원	1	1	1
가축상	0	1	0
가축성	0	1	0
가축성동발	1	1	1
가축성철재아치	0	1	0
가축우리	1	1	1
가축자	0	1	0
가축학	1	1	1
가축화	1	1	1
가출	1	1	1
가출렴	1	1	1
가출소	1	1	1
가출옥	1	1	1
가출장	1	1	1
가취	1	1	1
가취성	0	1	0
가취지례	1	1	1
가측값	0	1	0
가측치	0	1	0
가치	1	1	1
가치관	1	1	1
가치교육학	0	1	0
가치권	0	1	0
가치론	0	1	0
가치문제	1	1	1
가치물	0	1	0
가치사회	1	1	1
가치산	0	1	0
가치상어	1	1	1
가치상품	1	1	1
가치설	0	1	0
가치성	0	1	0
가치재	1	1	1
가치중립	1	1	1
가치중립성	0	1	0
가치중립적	1	1	1
가치체계	1	1	1
가치판단	1	1	1
가치학	1	1	1
가친	1	1	1
가칠	1	1	1
가칠장이	0	1	0
가칠편수	0	1	0
가침박달	0	1	0
가칭	1	1	1
가타	1	1	1
가타부타	0	1	0
가탁	0	1	0
가탄	0	1	0
가탄가탄	0	1	0
가탄제	0	1	0
가탈	1	1	1
가탈걸음	0	1	0
가태	1	1	1
가택	0	1	0
가택방문	0	1	0
가택신	1	1	1
가터뜨기	1	1	1
가터벨트	1	1	1
가토	1	1	1
가톨	1	1	1
가톨릭	1	1	1
가톨릭교회	1	1	1
가톨릭주의	1	1	1
가톨이독샤	1	1	1
가통	0	1	0
가통지사	0	1	0
가투	1	1	1
가투표	1	1	1
가트	1	1	1
가특력교	1	1	1
가파	0	1	0
가판대	0	1	0
가팔막	0	1	0
가패	1	1	1
가편	0	1	0
가평균	0	1	0
가평월	1	1	1
가평절	0	1	0
가포	1	1	1
가포교	0	1	0
가표	1	1	1
가풀막	1	1	1
가품	0	1	0
가풍	1	1	1
가피력	0	1	0
가피병	1	1	1
가피시	1	1	1
가피자	1	1	1
가필	1	1	1
가필주대	0	1	0
가하	1	1	1
가학	1	1	1
가학성	1	1	1
가학애	1	1	1
가학적	1	1	1
가학증	1	1	1
가한	0	1	0
가합	0	1	0
가항	1	1	1
가항성	0	1	0
가해	1	1	1
가해자	1	1	1
가해학생	1	1	1
가행	0	1	0
가행과	0	1	0
가행도	1	1	1
가행손실	0	1	0
가행위	1	1	1
가행정진	0	1	0
가행탄층	0	1	0
가향	1	1	1
가헌	0	1	0
가형	1	1	1
가형토기	1	1	1
가호	0	1	0
가호둔전	1	1	1
가호력	0	1	0
가호적	1	1	1
가호전	1	1	1
가혹	1	1	1
가혹성	1	1	1
가화류	1	1	1
가화페	0	1	0
가화합	0	1	0
가환군	1	1	1
가환부	1	1	1
가환사	1	1	1
가환율	0	1	0
가환지	1	1	1
가환체	0	1	0
가환환	1	1	1
가황	1	1	1
가황유	1	1	1
가황제	1	1	1
가회톱	0	1	0
가효	0	1	0
가효당	0	1	0
가후	1	1	1
가후금군	1	1	1
가후기	1	1	1
가후리	0	1	0
가후패두기	1	1	1
가훈	0	1	0
가훼	1	1	1
가휘	0	1	0
각가속도	0	1	0
각가지	0	1	0
각각	1	1	1
각각명운	1	1	1
각각타거	1	1	1
각간	1	1	1
각감	0	1	0
각갑채찍벌레	1	1	1
각강	0	1	0
각개	1	1	1
각거	1	1	1
각거리	1	1	1
각건	0	1	0
각건사제	1	1	1
각경	1	1	1
각경증	1	1	1
각곁수	1	1	1
각계	1	1	1
각계각층	1	1	1
각고	0	1	0
각고면려	1	1	1
각고정려	1	1	1
각곡	1	1	1
각골	0	1	0
각골난망	0	1	0
각골명심	0	1	0
각골분한	1	1	1
각골지통	1	1	1
각골천은	0	1	0
각골통한	0	1	0
각공	1	1	1
각공이	0	1	0
각공차하	1	1	1
각과	1	1	1
각관	1	1	1
각관자	0	1	0
각괄호	1	1	1
각광	1	1	1
각국	0	1	0
각궁반장	0	1	0
각궁자	0	1	0
각권	1	1	1
각근력	0	1	0
각근면려	0	1	0
각근봉공	0	1	0
각급	0	1	0
각기	0	1	0
각기공심	0	1	0
각기둥	1	1	1
각기둥시험체	1	1	1
각기둥키	0	1	0
각기명하	1	1	1
각기병	1	1	1
각기샘	0	1	0
각기선	1	1	1
각기소장	0	1	0
각기심	0	1	0
각기약시	1	1	1
각기입복	0	1	0
각기입심	1	1	1
각기충심	1	1	1
각끌반	0	1	0
각나무목침	0	1	0
각날도랫과	1	1	1
각내	0	1	0
각내상	1	1	1
각다귀	1	1	1
각다귀침노린재	1	1	1
각다귀파리매	1	1	1
각다귀판	1	1	1
각다귓과	0	1	0
각다회	1	1	1
각단	1	1	1
각단기	1	1	1
각담	1	1	1
각대	1	1	1
각대공	0	1	0
각도	0	1	0
각도계	0	1	0
각도기	1	1	1
각도분해능	1	1	1
각도자	0	1	0
각도장	0	1	0
각도주	1	1	1
각도후라이스	0	1	0
각동	0	1	0
각두	1	1	1
각두건	0	1	0
각두과	0	1	0
각두정	0	1	0
각둘	1	1	1
각득	0	1	0
각등	0	1	0
각띠	1	1	1
각락언	1	1	1
각래	1	1	1
각려	0	1	0
각력	0	1	0
각력암	0	1	0
각렬	1	1	1
각령	1	1	1
각로	0	1	0
각론	1	1	1
각론학	0	1	0
각료	1	1	1
각료회의	0	1	0
각류	1	1	1
각류반좌	1	1	1
각릉암	0	1	0
각린	1	1	1
각립	1	1	1
각립대좌	0	1	0
각립독행	1	1	1
각마	0	1	0
각막	1	1	1
