사용단어	가중치	사용횟수	단어승률
가감	11	20	0.55
가감산	4	20	0.2
가게	6	20	0.3
가게문	11	20	0.55
가겟방	7	20	0.35
가격	3	20	0.15
가격결정론	11	20	0.55
가격경쟁력	8	20	0.4
가격대	7	20	0.35
가격수준	6	20	0.3
가격인상	4	20	0.2
가격자유화	12	20	0.6
가결	4	20	0.2
가계	5	20	0.25
가계대출	5	20	0.25
가계부	7	20	0.35
가계비	9	20	0.45
가곡	10	20	0.5
가공	10	20	0.5
가공업	10	20	0.5
가관	8	20	0.4
가교	7	20	0.35
가구	8	20	0.4
가구점	6	20	0.3
가극	10	20	0.5
가금	10	20	0.5
가급	12	20	0.6
가까이	7	20	0.35
가나무	6	20	0.3
가난	10	20	0.5
가난뱅이	7	20	0.35
가내	10	20	0.5
가내공업	7	20	0.35
가는소금	8	20	0.4
가늠	8	20	0.4
가능	11	20	0.55
가능성	8	20	0.4
가닥	9	20	0.45
가담	13	20	0.65
가당연유	7	20	0.35
가도	6	20	0.3
가독성	9	20	0.45
가동	7	20	0.35
가두	9	20	0.45
가두캠페인	7	20	0.35
가드	8	20	0.4
가든파티	3	20	0.15
가등	10	20	0.5
가락	6	20	0.3
가락국수	9	20	0.45
가락지	8	20	0.4
가랑이	8	20	0.4
가랑잎	9	20	0.45
가래	6	20	0.3
가래단속곳	7	20	0.35
가래톳	20	20	1
가랭이	7	20	0.35
가량	11	20	0.55
가례	7	20	0.35
가로	5	20	0.25
가로등	7	20	0.35
가로세로	10	20	0.5
가로수	7	20	0.35
가로줄눈	9	20	0.45
가루	8	20	0.4
가루뿌리개	5	20	0.25
가루우유	4	20	0.2
가르침	10	20	0.5
가름	12	20	0.6
가름도움줄기	9	20	0.45
가리	7	20	0.35
가리개	6	20	0.3
가리마	8	20	0.4
가마	6	20	0.3
가마니	9	20	0.45
가마니바늘	8	20	0.4
가마솥	3	20	0.15
가마우지	8	20	0.4
가망	9	20	0.45
가매장	11	20	0.55
가맹	3	20	0.15
가면	6	20	0.3
가면극	10	20	0.5
가면무	3	20	0.15
가면무도	14	20	0.7
가면무도회	7	20	0.35
가명	2	20	0.1
가묘	4	20	0.2
가무	7	20	0.35
가문	11	20	0.55
가문비나무	8	20	0.4
가물	10	20	0.5
가물치	9	20	0.45
가뭄	20	20	1
가뭄더위	8	20	0.4
가미	8	20	0.4
가발	9	20	0.45
가방	7	20	0.35
가변	6	20	0.3
가보	6	20	0.3
가봉	7	20	0.35
가부	8	20	0.4
가부장	4	20	0.2
가불	9	20	0.45
가사	6	20	0.3
가사노동	8	20	0.4
가사부담	8	20	0.4
가산	13	20	0.65
가상	10	20	0.5
가설	9	20	0.45
가설극장	6	20	0.3
가성	13	20	0.65
가세	8	20	0.4
가속	5	20	0.25
가속도	9	20	0.45
가솔린	7	20	0.35
가수	10	20	0.5
가스	10	20	0.5
가스계량기	6	20	0.3
가스라이터	6	20	0.3
가스레인지	9	20	0.45
가스마스크	9	20	0.45
가스스토브	7	20	0.35
가스오븐레인지	10	20	0.5
가슴	13	20	0.65
가슴근육	6	20	0.3
가슴둘레	7	20	0.35
가슴속	8	20	0.4
가슴팍	20	20	1
가슴패기	8	20	0.4
가습기	7	20	0.35
가시	5	20	0.25
가시덤불	7	20	0.35
가식	5	20	0.25
가신	5	20	0.25
가십	7	20	0.35
가압	12	20	0.6
가야금	7	20	0.35
가얏고	7	20	0.35
가언	7	20	0.35
가업	5	20	0.25
가연	10	20	0.5
가연성	10	20	0.5
가열	8	20	0.4
가오리	6	20	0.3
가옥	8	20	0.4
가옥대장	8	20	0.4
가외	5	20	0.25
가요	8	20	0.4
가용	4	20	0.2
가운	6	20	0.3
가운데	9	20	0.45
가운데뜰	10	20	0.5
가운데어머니	7	20	0.35
가운데창자	10	20	0.5
가위	9	20	0.45
가위다리봉사	6	20	0.3
가위다리양자	6	20	0.3
가위바위보	10	20	0.5
가위질사위	11	20	0.55
가을	11	20	0.55
가을걷이	3	20	0.15
가을나들이	5	20	0.25
가을바람	8	20	0.4
가을운동회	9	20	0.45
가을철	11	20	0.55
가을하늘	4	20	0.2
가이드	8	20	0.4
가이드북	8	20	0.4
가인	6	20	0.3
가입	10	20	0.5
가입비	2	20	0.1
가입자	7	20	0.35
가자미	7	20	0.35
가작	7	20	0.35
