사용단어	가중치	사용횟수	단어승률
가감	6	20	0.3
가감산	8	20	0.4
가게	8	20	0.4
가게문	10	20	0.5
가겟방	8	20	0.4
가격	6	20	0.3
가격결정론	6	20	0.3
가격경쟁력	4	20	0.2
가격대	11	20	0.55
가격수준	6	20	0.3
가격인상	13	20	0.65
가격자유화	10	20	0.5
가결	12	20	0.6
가계	8	20	0.4
가계대출	12	20	0.6
가계부	6	20	0.3
가계비	4	20	0.2
가곡	8	20	0.4
가공	7	20	0.35
가공업	6	20	0.3
가관	8	20	0.4
가교	8	20	0.4
가구	7	20	0.35
가구점	8	20	0.4
가극	10	20	0.5
가금	8	20	0.4
가급	6	20	0.3
가까이	13	20	0.65
가나무	13	20	0.65
가난	9	20	0.45
가난뱅이	8	20	0.4
가내	6	20	0.3
가내공업	8	20	0.4
가는소금	8	20	0.4
가늠	13	20	0.65
가능	5	20	0.25
가능성	7	20	0.35
가닥	5	20	0.25
가담	9	20	0.45
가당연유	9	20	0.45
가도	9	20	0.45
가독성	10	20	0.5
가동	5	20	0.25
가두	5	20	0.25
가두캠페인	5	20	0.25
가드	10	20	0.5
가든파티	4	20	0.2
가등	6	20	0.3
가락	6	20	0.3
가락국수	12	20	0.6
가락지	7	20	0.35
가랑이	9	20	0.45
가랑잎	8	20	0.4
가래	4	20	0.2
가래단속곳	11	20	0.55
가래톳	20	20	1
가랭이	5	20	0.25
가량	13	20	0.65
가례	9	20	0.45
가로	9	20	0.45
가로등	7	20	0.35
가로세로	11	20	0.55
가로수	10	20	0.5
가로줄눈	6	20	0.3
가루	6	20	0.3
가루뿌리개	9	20	0.45
가루우유	10	20	0.5
가르침	10	20	0.5
가름	8	20	0.4
가름도움줄기	7	20	0.35
가리	9	20	0.45
가리개	7	20	0.35
가리마	8	20	0.4
가마	9	20	0.45
가마니	10	20	0.5
가마니바늘	11	20	0.55
가마솥	8	20	0.4
가마우지	6	20	0.3
가망	7	20	0.35
가매장	9	20	0.45
가맹	6	20	0.3
가면	9	20	0.45
가면극	7	20	0.35
가면무	12	20	0.6
가면무도	4	20	0.2
가면무도회	9	20	0.45
가명	9	20	0.45
가묘	8	20	0.4
가무	6	20	0.3
가문	8	20	0.4
가문비나무	4	20	0.2
가물	10	20	0.5
가물치	9	20	0.45
가뭄	20	20	1
가뭄더위	7	20	0.35
가미	5	20	0.25
가발	6	20	0.3
가방	10	20	0.5
가변	8	20	0.4
가보	12	20	0.6
가봉	7	20	0.35
가부	4	20	0.2
가부장	7	20	0.35
가불	10	20	0.5
가사	6	20	0.3
가사노동	7	20	0.35
가사부담	8	20	0.4
가산	4	20	0.2
가상	9	20	0.45
가설	11	20	0.55
가설극장	7	20	0.35
가성	7	20	0.35
가세	8	20	0.4
가속	8	20	0.4
가속도	13	20	0.65
가솔린	5	20	0.25
가수	6	20	0.3
