사용단어	가중치	사용횟수	단어승률
가죽이김약	9	20	0.45
가죽지의	10	20	0.5
가죽집	7	20	0.35
가죽집말	3	20	0.15
가죽채	7	20	0.35
가죽피	9	20	0.45
가죽피리	6	20	0.3
가죽혁	14	20	0.7
가죽혹버섯	9	20	0.45
가중	9	20	0.45
가중감경	9	20	0.45
가중값	13	20	0.65
가중범	5	20	0.25
가중주의	8	20	0.4
가중차제	11	20	0.55
가중치	8	20	0.4
가중형	9	20	0.45
가증	10	20	0.5
가증금	8	20	0.4
가증률	8	20	0.4
가지	7	20	0.35
가지가위	8	20	0.4
가지가지	5	20	0.25
가지각색	11	20	0.55
가지개곽향	10	20	0.5
가지검댕이증	9	20	0.45
가지게	11	20	0.55
가지고르기	7	20	0.35
가지고비	10	20	0.5
가지고비고사리	10	20	0.5
가지곡정초	8	20	0.4
가지골	5	20	0.25
가지관	7	20	0.35
가지괭이눈	9	20	0.45
가지구이	5	20	0.25
가지굴	7	20	0.35
가지급	11	20	0.55
가지급금	11	20	0.55
가지기	5	20	0.25
가지기도	6	20	0.3
가지김치	8	20	0.4
가지꽂이	8	20	0.4
가지꽃지의	8	20	0.4
가지나무좀	8	20	0.4
가지나물	8	20	0.4
가지노리개	7	20	0.35
가지누름적	9	20	0.45
가지다듬기	8	20	0.4
가지더부살이	9	20	0.45
가지도	9	20	0.45
가지돌꽃	8	20	0.4
가지돌연변이	12	20	0.6
가지런할제	11	20	0.55
가지마름병	10	20	0.5
가지만지	11	20	0.55
가지말랭이	6	20	0.3
가지맥	8	20	0.4
가지모기르기	13	20	0.65
가지문	6	20	0.3
가지물길	7	20	0.35
가지바늘	11	20	0.55
가지번호	9	20	0.45
가지별꽃	10	20	0.5
가지복수초	5	20	0.25
가지불	8	20	0.4
가지비틀기	6	20	0.3
가지뽕	7	20	0.35
가지뽕누에치기	6	20	0.3
가지뽕따기	7	20	0.35
가지뿌리	8	20	0.4
가지뿔들양	4	20	0.2
가지산꽃다지	8	20	0.4
가지산문	8	20	0.4
가지산적	8	20	0.4
가지산파	8	20	0.4
가지삿갓사초	4	20	0.2
가지색	8	20	0.4
가지솎음	7	20	0.35
가지송라	9	20	0.45
가지송이풀	8	20	0.4
가지신	5	20	0.25
가지실말	12	20	0.6
가지역병	6	20	0.3
가지자르기	12	20	0.6
가지장아찌	10	20	0.5
가지적	7	20	0.35
가지전	9	20	0.45
가지절임	9	20	0.45
가지조이기	10	20	0.5
가지줄	8	20	0.4
가지짠지	8	20	0.4
가지찜	10	20	0.5
가지찬국	7	20	0.35
가지창	9	20	0.45
가지치기	9	20	0.45
가지톱	6	20	0.3
가지페	6	20	0.3
가지회	10	20	0.5
가지휘여주기	7	20	0.35
가지흑고병	7	20	0.35
가직	8	20	0.4
가진대이름씨	7	20	0.35
가진월	6	20	0.3
가질	9	20	0.45
가짐	8	20	0.4
가짐새	8	20	0.4
가집	11	20	0.55
가집장	7	20	0.35
가집행	8	20	0.4
가짓과	8	20	0.4
가짓말	5	20	0.25
가짓말쟁이	5	20	0.25
가짓부렁	20	20	1
가짓부렁이	8	20	0.4
가짓빛	7	20	0.35
가짓수	9	20	0.45
가짓잎괭이	9	20	0.45
가짓잎쌈	7	20	0.35
가짓줄	7	20	0.35
가징	5	20	0.25
가짜	5	20	0.25
가짜결핵	5	20	0.25
가짜도하장	4	20	0.2
가짜동자	7	20	0.35
가짜동지	4	20	0.2
가짜목소리	6	20	0.3
가짜미끼	11	20	0.55
가짜미친개병	4	20	0.2
가짜배기	9	20	0.45
가짜속살	8	20	0.4
가짜송진홈	3	20	0.15
가짜어사	6	20	0.3
가짜줄기	8	20	0.4
가짜풍	9	20	0.45
가쪽복사	7	20	0.35
가차	7	20	0.35
가차사	7	20	0.35
가차압	7	20	0.35
가차자	5	20	0.25
가차하	8	20	0.4
가착	9	20	0.45
가찬	7	20	0.35
가찰	7	20	0.35
가창	8	20	0.4
가창대	7	20	0.35
가창력	3	20	0.15
가창법	9	20	0.45
가창시위	11	20	0.55
가창오리	7	20	0.35
가창행진	11	20	0.55
가채	9	20	0.45
가채권	9	20	0.45
가책	13	20	0.65
가처분	7	20	0.35
가천	7	20	0.35
가철	8	20	0.4
가철본	5	20	0.25
가첨	8	20	0.4
가첨문서	5	20	0.25
가첨밥	11	20	0.55
가첨잠	12	20	0.6
가첩	8	20	0.4
가청	4	20	0.2
가청도	10	20	0.5
가청음	7	20	0.35
가체	7	20	0.35
가체포	11	20	0.55
가체포장	7	20	0.35
가초노	7	20	0.35
가촉	8	20	0.4
가촌	10	20	0.5
가추	4	20	0.2
가추렴	11	20	0.55
가축	4	20	0.2
가축농	14	20	0.7
가축단위	5	20	0.25
가축방역소	10	20	0.5
가축법	11	20	0.55
가축병원	7	20	0.35
가축상	14	20	0.7
가축성	7	20	0.35
가축성동발	12	20	0.6
가축성철재아치	4	20	0.2
가축우리	3	20	0.15
가축자	8	20	0.4
가축학	7	20	0.35
가축화	8	20	0.4
가출	13	20	0.65
가출렴	8	20	0.4
가출소	5	20	0.25
가출옥	10	20	0.5
가출장	7	20	0.35
가취	6	20	0.3
가취성	10	20	0.5
가취지례	6	20	0.3
가측값	10	20	0.5
가측치	10	20	0.5
가치	9	20	0.45
가치관	5	20	0.25
가치교육학	10	20	0.5
가치권	9	20	0.45
가치론	9	20	0.45
가치문제	11	20	0.55
가치물	10	20	0.5
가치사회	12	20	0.6
가치산	5	20	0.25
가치상어	7	20	0.35
가치상품	9	20	0.45
가치설	4	20	0.2
가치성	10	20	0.5
가치재	8	20	0.4
가치중립	6	20	0.3
가치중립성	10	20	0.5
가치중립적	6	20	0.3
가치체계	10	20	0.5
가치판단	10	20	0.5
가치학	10	20	0.5
가친	5	20	0.25
가칠	8	20	0.4
가칠장이	6	20	0.3
가칠편수	10	20	0.5
가침박달	7	20	0.35
가칭	10	20	0.5
가타	9	20	0.45
가타부타	7	20	0.35
가탁	4	20	0.2
가탄	10	20	0.5
가탄가탄	7	20	0.35
가탄제	8	20	0.4
가탈	9	20	0.45
가탈걸음	7	20	0.35
가태	9	20	0.45
가택	7	20	0.35
가택방문	7	20	0.35
가택신	8	20	0.4
가터뜨기	8	20	0.4
가터벨트	11	20	0.55
가토	8	20	0.4
가톨	20	20	1
가톨릭	8	20	0.4
가톨릭교회	8	20	0.4
가톨릭주의	5	20	0.25
가톨이독샤	5	20	0.25
가통	9	20	0.45
가통지사	5	20	0.25
가투	6	20	0.3
가투표	7	20	0.35
가트	6	20	0.3
가특력교	10	20	0.5
가파	11	20	0.55
가판대	6	20	0.3
가팔막	7	20	0.35
가패	10	20	0.5
가편	9	20	0.45
가평균	7	20	0.35
가평월	7	20	0.35
가평절	8	20	0.4
가포	7	20	0.35
가포교	8	20	0.4
가표	9	20	0.45
가풀막	9	20	0.45
가품	7	20	0.35
가풍	9	20	0.45
가피력	7	20	0.35
가피병	8	20	0.4
가피시	8	20	0.4
가피자	6	20	0.3
가필	10	20	0.5
가필주대	7	20	0.35
가하	6	20	0.3
가학	10	20	0.5
가학성	7	20	0.35
가학애	6	20	0.3
가학적	9	20	0.45
가학증	7	20	0.35
가한	8	20	0.4
가합	4	20	0.2
가항	9	20	0.45
가항성	2	20	0.1
가해	8	20	0.4
가해자	8	20	0.4
가해학생	6	20	0.3
가행	10	20	0.5
가행과	5	20	0.25
가행도	6	20	0.3
가행손실	5	20	0.25
가행위	7	20	0.35
가행정진	10	20	0.5
가행탄층	9	20	0.45
가향	7	20	0.35
가헌	3	20	0.15
가형	7	20	0.35
가형토기	6	20	0.3
가호	9	20	0.45
가호둔전	4	20	0.2
가호력	8	20	0.4
가호적	8	20	0.4
가호전	9	20	0.45
가혹	8	20	0.4
가혹성	10	20	0.5
가화류	7	20	0.35
가화페	13	20	0.65
가화합	6	20	0.3
가환군	9	20	0.45
가환부	4	20	0.2
가환사	7	20	0.35
가환율	6	20	0.3
가환지	4	20	0.2
가환체	3	20	0.15
가환환	7	20	0.35
가황	7	20	0.35
가황유	4	20	0.2
가황제	12	20	0.6
가회톱	11	20	0.55
가효	7	20	0.35
가효당	10	20	0.5
가후	6	20	0.3
가후금군	7	20	0.35
가후기	5	20	0.25
가후리	7	20	0.35
가후패두기	8	20	0.4
가훈	11	20	0.55
가훼	3	20	0.15
가휘	9	20	0.45
각가속도	8	20	0.4
각가지	8	20	0.4
각각	6	20	0.3
각각명운	11	20	0.55
각각타거	10	20	0.5
각간	9	20	0.45
각감	12	20	0.6
각갑채찍벌레	8	20	0.4
각강	8	20	0.4
각개	7	20	0.35
각거	5	20	0.25
각거리	9	20	0.45
각건	8	20	0.4
각건사제	7	20	0.35
각경	10	20	0.5
각경증	7	20	0.35
각곁수	6	20	0.3
각계	5	20	0.25
각계각층	9	20	0.45
각고	5	20	0.25
각고면려	9	20	0.45
각고정려	5	20	0.25
각곡	9	20	0.45
각골	12	20	0.6
각골난망	9	20	0.45
각골명심	13	20	0.65
각골분한	8	20	0.4
각골지통	8	20	0.4
각골천은	7	20	0.35
각골통한	6	20	0.3
각공	11	20	0.55
각공이	7	20	0.35
각공차하	8	20	0.4
각과	6	20	0.3
각관	6	20	0.3
각관자	8	20	0.4
각괄호	8	20	0.4
각광	5	20	0.25
각국	6	20	0.3
각궁반장	7	20	0.35
각궁자	10	20	0.5
각권	3	20	0.15
각근력	9	20	0.45
각근면려	12	20	0.6
각근봉공	3	20	0.15
각급	6	20	0.3
각기	8	20	0.4
각기공심	6	20	0.3
각기둥	10	20	0.5
각기둥시험체	10	20	0.5
각기둥키	7	20	0.35
각기명하	7	20	0.35
각기병	5	20	0.25
각기샘	8	20	0.4
각기선	10	20	0.5
각기소장	6	20	0.3
각기심	4	20	0.2
각기약시	6	20	0.3
각기입복	6	20	0.3
각기입심	13	20	0.65
각기충심	7	20	0.35
각끌반	3	20	0.15
각나무목침	8	20	0.4
각날도랫과	11	20	0.55
각내	5	20	0.25
각내상	6	20	0.3
각다귀	7	20	0.35
각다귀침노린재	7	20	0.35
각다귀파리매	9	20	0.45
각다귀판	6	20	0.3
각다귓과	9	20	0.45
각다회	9	20	0.45
각단	6	20	0.3
각단기	7	20	0.35
각담	3	20	0.15
각대	9	20	0.45
각대공	9	20	0.45
각도	7	20	0.35
각도계	11	20	0.55
각도기	7	20	0.35
각도분해능	7	20	0.35
각도자	11	20	0.55
각도장	11	20	0.55
각도주	6	20	0.3
각도후라이스	7	20	0.35
각동	5	20	0.25
각두	7	20	0.35
각두건	5	20	0.25
각두과	5	20	0.25
각두정	8	20	0.4
각둘	7	20	0.35
각득	6	20	0.3
