금지	0.52
긍정적	0.46
기간	0.48
기계	0.57
기관	0.36
기구	0.54
기기	0.45
기념	1
기념일	0.46
기념품	0.51
기능	0.25
기대	0.44
기도	0.49
기독교	0.45
기둥	0.49
기록	1
기름	1
기법	0.34
기본	0.43
기본적	0.39
기분	0.4
기쁨	1
기사	0.41
기성	0.5
기성세대	0.44
기숙사	0.52
기술	0.52
기술자	0.48
기억	1
기업	0.58
기업인	0.61
기여	0.45
기온	0.55
기운	0.57
기원	0.43
기원전	0.41
기자	0.42
기적	0.41
기준	0.52
기차	0.42
기초	0.46
기초적	0.42
기침	0.35
기타	0.35
기호	0.39
기혼	0.52
기회	0.5
기획	1
기후	0.48
긴급	0
긴장	0.48
긴장감	0.55
길가	0.46
길거리	0.35
길이	0.53
김밥	0.46
김치	0.46
김치찌개	0.52
김포공항	0.41
깊이	0.46
까닭	0.48
까만색	0.38
까치	0.34
깍두기	0.46
깡패	0
깨달음	0.47
깨소금	0.53
껍질	0.47
꼬리	0.33
꼬마	0.39
꼭대기	0.47
꽃씨	0.32
꽃잎	0
꾸중	0.39
꿈속	0.58
나들이	0.43
나라	0.38
나머지	0.56
나무	0.39
나물	0.47
나뭇가지	0.58
나뭇잎	0
나비	0.46
나이	0.49
나중	0.49
나침반	0.5
나흘	1
낙엽	0.41
낚시	0.45
낚시꾼	1
낚싯대	0.43
난리	0.32
난방	0.5
날개	0.51
날씨	0.32
날짜	0.5
남녀	1
남대문	0.61
남대문시장	0.41
남동생	0.47
남매	0.42
남미	0.47
남부	0.45
남북	0.6
남산	0.51
남성	0.43
남자	0.49
남쪽	0
남편	0.56
남학생	0.46
낭비	0.49
낱말	0.37
내과	0.52
내년	1
내달	0.37
내부	0.39
내외	0.53
내용	0.56
내용물	0.47
내일	0.49
내적	0.41
내후년	1
냄비	0.49
냄새	0.63
냇물	0.42
냉동	0.5
냉면	0.47
냉방	0.4
냉장고	0.47
너머	0.44
네거리	0.37
넥타이	0.33
노동	0.54
노동자	0.52
노란색	0.47
노래	1
노래방	0.3
노랫소리	0.34
노력	1
노선	0.55
노인	0.5
노트	0
녹색	0.39
녹음	0.59
녹차	0.39
녹화	0.54
논리	0.33
논리적	0.42
논문	0.61
논쟁	1
놀이	0.55
놀이터	0.3
농구	0.43
농담	0.52
농민	0.38
농부	0.37
농사	0.42
농사일	0.62
농산물	0.48
농업	0.54
농장	0.45
농촌	1
높이	0.47
누나	0.48
눈가	0.41
눈길	0.53
눈동자	0.44
눈물	0.43
눈병	0.6
눈빛	0.43
눈썹	1
눈앞	0.53
뉴스	0.44
뉴욕	0.48
느낌	1
늑대	0.46
능동적	0.39
능력	1
늦가을	1
다리	0.34
다방	0.54
다수	0.61
다양성	0.48
다음	0.43
다이어트	0
다툼	1
다행	0.54
단계	0.43
단골	0.55
단독	0.44
단맛	0
단순	0.57
단어	0.44
단위	0.6
단점	0.45
단지	0.58
단체	0.39
단추	0.43
단편	0.49
단풍	0.6
달걀	1
달러	0.56
달력	1
달리기	0.49
달빛	0.52
닭고기	0.47
담당	0.48
담당자	0.47
담배	0.45
담요	0.48
담임	0.52
답변	0.52
답장	0.48
닷새	0.67
당근	0.51
당시	0.47
당장	0.4
대가	0.41
대개	0.55
대구	0.36
대규모	0.5
대기	0.52
대기업	0.51
대낮	0
대다수	0.53
대답	0.45
대도시	0.47
대량	1
대륙	1
대문	0.63
대부분	0.49
대비	0.47
대사	0.43
대사관	0.39
대상자	0.48
대신	0.46
대응	1
대입	0.6
대전	0.54
대접	0.37
대중	0.5
대중교통	0.57
