사용단어	단어승률
월요일	0.929
웨이터	0
웬일	0.932
위기	0.848
위로	0.485
위반	0.86
위법	0.522
위성	0.834
위아래	1
위원	0.854
위원장	0.757
위주	0.901
위쪽	1
위층	1
위치	0.708
위험	1
위험성	0.818
위협	0
윗몸	0.827
윗사람	1
유교	0.951
유럽	1
유리	0.5
유리창	0.88
유머	0.776
유명	0.745
유물	0.919
유산	0.896
유월	0.511
유적	0.751
유적지	0.903
유치원	0.888
유학	0.764
유학생	0.875
유행	0.99
유형	0.88
육군	1
육상	0.83
육체	0.704
육체적	0.744
은행	0.997
은행나무	0.726
음력	1
음료	1
음료수	0.902
음반	0.867
음성	0.81
음식	0.785
음식물	0.928
음식점	0.809
음악	0.672
음악가	0.772
음주	0.909
의견	1
의논	0.746
의도	0.837
의도적	0.748
의류	1
의무	0.709
의문	0.932
의미	0.771
의복	0.959
의사	0.793
의식	0.786
의심	0.842
의욕	1
의원	0.845
의자	0.852
의지	0.888
의학	0.775
이것저것	1
이곳저곳	0
이날	1
이내	0.742
이념	1
이다음	0.801
이달	0.514
이데올로기	0.84
이동	0.875
이때	1
이력서	0.794
이론적	0.738
이름	1
이마	0.634
이모	0.818
이미지	0.89
이민	0.842
이발소	0.899
이번	0.956
이별	1
이불	0.804
이빨	0.526
이사	0.788
이사장	0.791
이상	0.836
이상적	0.733
이성	0.83
이슬	0
이야기	0.841
이외	0.809
이용	0.817
이용자	0.853
이웃	0.667
이웃집	1
이월	0.494
이유	0.925
이익	1
이자	0.822
이전	0.943
이제	0.986
이중	0.888
이튿날	1
이틀	1
이하	0.681
이해	0.961
이해관계	0.658
이혼	1
이후	0.831
인간	0.785
인간관계	0.678
인간성	0.842
인간적	0.744
인격	1
인공	0.903
인구	0.836
인근	0.888
인기	0.861
인도	0.81
인류	1
인물	0.917
인사	0.796
인사말	0.615
인삼	0.469
인삼차	0.639
인상	0.84
인상적	0.739
인생	0.903
인쇄	1
인연	0.916
인원	0.833
인재	0.743
인제	0.983
인종	0.799
인천	0.974
인천공항	1
인체	0.722
인터넷	1
인터뷰	1
인하	0.641
인형	0.844
일기	0.858
일등	0.814
일반	0.862
일반인	0.829
일반적	0.764
일본	0.87
일본어	0.604
일부	0.876
일상	0.852
일상생활	0.925
일상적	0.753
일생	0.889
일손	0.601
일시적	0.743
일식	0.779
일쑤	1
일요일	0.932
일월	0.481
일자	0.846
일자리	0.486
일정	0.993
일종	0.8
일주일	0.934
일체	0.732
일치	0.715
일행	0.992
일회용	0.791
일회용품	1
임금	0.853
임무	0.711
임시	0.808
임신	0.912
임신부	0.891
입구	0.821
입국	0.948
입대	0.875
입력	1
입맛	1
입사	0.798
입술	0.931
입시	0.821
입원	0.868
입장	0.74
입학	0.776
자가용	0.825
자격	1
자격증	1
자극	1
자기	0.843
자녀	1
자동	0.879
자동차	0.646
자랑	1
자료	1
자리	0.487
자매	0.628
자부심	0.822
자살	0.492
자세	0.969
자식	0.79
자신	0.92
자신감	0.986
자연	0.916
자연적	0.769
자연현상	0.83
자연환경	0.754
자원	0.868
자유	0.916
자율	1
자장면	0.946
자전거	0.788
자정	0.99
자존심	0.821
자체	0.727
자취	0.941
자판	1
자판기	0.86
작가	0.779
작년	1
작성	0.8
작업	1
작용	0.774
작은딸	1
작은아들	1
작은아버지	0.893
작은어머니	1
작품	1
잔디	0.935
잔디밭	1
잔치	0.683
잘못	1
잠깐	1
잠바	0.518
잠수함	1
잠시	0.805
잠옷	0
잠자리	0.497
잡지	0.904
장가	0.766
장갑	1
장관	0.683
장군	1
장기간	0.784
장기적	0.753
장난	1
장난감	0.987
장남	0.81
장래	1
장례	1
장례식	0.779
장르	1
장마	0.644
장면	0.932
장모	0.796
장모님	1
장미	0.79
장비	0.844
장사	0.788
장사꾼	1
장소	0.889
장수	0.893
장식	0.755
장애인	0.833
장인	0.832
장점	0.785
장학금	0.859
재능	0.497
재료	1
재미	0.823
재산	0.884
재생	0.878
재수	0.909
재작년	1
재정	0.986
재주	0.911
재즈	1
재채기	0.848
재판	1
재학	0.772
재활용	0.788
재활용품	1
저고리	0.498
저녁	1
저녁때	1
저번	0.956
저울	1
저자	0.815
저축	1
적극	1
적극적	0.676
적성	0.837
적용	0.813
적응	1
전개	0.995
전공	0.917
전구	0.848
전국	0.933
전국적	0.756
전기	0.853
전기밥솥	1
전날	1
전달	0.503
전라도	0.844
전망	1
전문	0.924
전문가	0.77
전문적	0.739
전문점	0.785
전문직	0.982
전반	0.871
전반적	0.736
전부	0.87
전선	0.908
전설	0.759
전세	0.974
전시	0.834
전시장	0.777
전시회	0.995
전용	0.819
전자	0.829
전쟁	1
전주	0.929
전철	1
전체	0.743
전체적	0.769
전통	0.947
전통문화	0.969
전통적	0.754
전화	0.961
전화기	0.861
전화번호	0.772
전환	0.641
전후	0.825
절대	0.881
절대적	0.748
절망	1
절반	0.83
절약	0.825
절차	0.676
젊은이	0.869
젊음	0.829
점검	1
점수	0.908
점심	0.853
점심때	1
점심시간	0.792
점원	0.859
접근	0.894
접시	0.794
접촉	1
젓가락	1
정거장	0.775
정기	0.853
정기적	0.759
정답	0.963
정당	1
정도	0.818
정류장	0.799
정리	0.522
정말	0.606
정면	0.935
정문	0.93
정반대	0.875
정보	0.848
정보화	0.971
정부	0.867
정비	0.838
정상	0.826
정상적	0.741
정성	0.838
정식	0.765
정신	0.925
정신과	0.993
정신적	0.761
정오	0.776
정원	0.86
정장	0.765
정지	0.914
정치	0.683
정치권	0.942
정치인	0.852
정치적	0.748
정치학	0.785
제공	0.931
제과점	0.808
제도적	0.757
제목	0.673
제비	0.836
제사	0.794
제삿날	1
제시	0.795
제안	0.816
제약	0.818
제의	0.901
제일	0.921
제자	0.831
제자리	0.471
제작	0.62
제주도	0.831
제출	0.988
제품	1
제한	0.793
조각	0.991
조개	0.995
조건	0.949
조금	0.859
조기	0.858
조깅	1
조명	0.737
조미료	1
조사	0.787
조상	0.831
조선	0.918
조절	0.952
조정	0.987
조직	0.977
조카	0.727
존댓말	0.627
존재	0.767
졸업	1
졸업생	0.886
졸음	0.83
종교	0.939
종교적	0.77
종로	0.501
종류	1
종소리	0.484
종업원	0.857
종이	0.845
종이컵	1
종일	0.942
종합	0.514
좌석	1
좌우	0.888
죄인	0.85
주거	0.798
주관적	0.763
주름	1
주름살	0.502
주말	0.617
주머니	1
주먹	1
주문	0.918
주민	0.853
주방	0.902
주변	1
주부	0.872
주사	0.754
주소	0.906
주스	0.847
주식	0.759
주요	0.894
주위	0.733
주의	0.925
주인	0.855
주인공	0.926
주장	0.777
주전자	0.833
주제	0.979
주차	0.66
주차장	0.763
주택	1
주한	0.789
죽음	0.803
준비	0.849
준비물	0.917
줄거리	0.478
줄기	0.845
줄무늬	1
중간	0.762
중계방송	0.931
중국	0.937
중국어	0.6
중국집	1
중년	1
중단	0.887
중독	0.824
중반	0.871
중부	0.858
중세	0.972
중소기업	1
중순	1
중식	0.752
중심	0.819
중심지	0.893
중앙	1
중요	0.878
중요성	0.814
중학교	0.96
중학생	0.91
즉석	1
즉시	0.815
즐거움	0.915
증가	0.768
증거	0.777
증권	0.938
증권사	0.784
증상	0.859
증세	0.968
지각	0.991
지갑	1
지구	0.831
지금	0.866
지급	1
지난날	1
지난달	0.503
지난번	0.973
지난주	0.913
지난해	0.965
지능	0.52
지대	0.871
지도	0.821
지도자	0.846
지름길	1
지리산	0.896
지방	0.894
지붕	1
지속적	0.748
지시	0.805
지식	0.758
지식인	0.831
지역	1
지우개	0.993
지원	0.877
지위	0.745
지적	0.736
지점	0.801
지지	0.901
지진	0.73
지출	0.992
지폐	0.986
지하	0.662
지하도	0.821
지하철	1
지혜	0.793
직선	0.897
직업	1
직원	0.854
직장	0.793
직장인	0.819
직전	0.926
직접	0.655
직접적	0.73
직후	0.842
진급	1
진단	0.896
진달래	1
진동	0.901
진로	0.485
진료	1
진리	0.52
진실	0.776
진심	0.812
진짜	0.795
진찰	1
진출	0.993
진통	0.924
진행	0.996
진행자	0.834
질문	0.932
질병	1
질서	0.805
질적	0.75
짐작	0.595
집단	0.905
집단적	0.75
집안	0.807
집안일	0.942
집중	0.872
집중적	0.769
짜증	1
찌개	0.99
찌꺼기	0.862
차남	0.827
차량	1
차례	1
차림	1
차별	1
차선	0.927
차이	0.871
차이점	0.781
차창	0.862
착각	0.985
찬물	0.914
찬성	0.821
참가	0.743
참기름	1
참새	0.594
참석	1
참석자	0.837
참여	0.855
참외	0.803
참조	0.866
찻잔	0.668
창가	0.766
창고	0.801
창구	0.825
창문	0.916
창밖	1
창작	0.609
창조	0.871
창조적	0.761
채널	1
채소	0.871
채점	0.779
책가방	0.888
책방	0.874
책상	0.828
책임	1
책임감	0.989
책임자	0.824
챔피언	0.487
처녀	1
처리	0.535
처벌	1
처음	0.8
처지	0.904
천국	0.938
천둥	0.99
천장	0.76
천재	0.746
철도	0.835
철학	0.774
철학자	0.815
철학적	0.757
첫날	1
청년	1
청바지	0.888
청소	0.883
청소기	0.849
청소년	1
청춘	1
체계적	0.763
체력	1
체온	0.964
체육	0.97
체육관	0.7
체조	0.866
체중	0.88
체험	1
초기	0.848
초대	0.876
초등학교	0.956
초등학생	0.897
초록색	0.48
초반	0.85
초밥	0.279
초보	0.831
초보자	0.839
초상화	0.969
초순	1
초여름	1
초원	0.862
초저녁	1
초점	0.819
초청	0.506
초청장	0.77
초콜릿	1
촛불	0.802
총각	0.99
총리	0.504
총장	0.763
촬영	0.807
최고	0.806
최고급	1
최근	0.901
최대	0.87
최대한	0.777
최상	0.858
최선	0.906
최소	0.886
최소한	0.79
최신	0.927
최악	0.685
최저	0.697
최종	0.8
최초	0.814
최후	0.829
추가	0.769
추석	1
추억	1
추위	0.744
추진	0.725
추천	0.97
추측	1
축구	0.824
축구공	0.929
축구장	0.756
축소	0.883
축제	0.982
축하	0.649
출구	0.837
출국	0.944
출근	0.888
출발	0.742
출발점	0.79
출산	0.895
출신	0.916
출연	0.908
출입	0.807
출입국	0.948
출입문	0.926
출장	0.788
출퇴근	0.885
출판	1
출판사	0.768
충격	1
충격적	0.76
충고	0.804
충돌	1
충청도	0.828
취미	0.793
취소	0.889
취업	1
취재	0.751
취직	0.984
취향	1
치과	0.995
치료	1
치료법	0.488
치마	0.645
치아	0.597
치약	0.818
치즈	1
친구	0.837
친절	0.965
친정	0.987
친척	1
칠월	0.482
칠판	1
침대	0.871
침묵	1
침실	0.805
칫솔	1
칭찬	1
카드	1
카레	0.524
카메라	0.779
카운터	0
카페	1
칼국수	0.901
캐나다	0.874
캐릭터	0
캠퍼스	0.846
캠페인	0.832
커튼	1
커피	0.866
컨디션	1
컬러	1
컴퓨터	0
케첩	1
코끝	1
코끼리	0.487
코너	1
코드	1
코미디	0.929
코스	0.838
코스모스	0.835
코치	0.677
코트	0
코피	0.883
콘서트	0
콜라	0.789
콤플렉스	0.847
콩나물	0.91
쾌감	0.981
쿠데타	0.669
크기	0.851
크리스마스	0.852
크림	1
큰길	1
큰딸	1
큰소리	0.501
큰아들	1
큰아버지	0.892
큰어머니	1
큰일	0.938
큰절	0.964
클래식	0.781
클럽	1
키스	0.772
타락	1
타입	0.802
타자기	0.851
탁구	0.845
탁자	0.803
탄생	0.888
태권도	0.828
태도	0.818
태아	0.6
태양	0.774
태풍	0.942
택시	0.814
탤런트	0
터널	1
터미널	1
테니스	0.836
테러	1
테스트	0
테이블	1
테이프	0.756
텍스트	0
텔레비전	0.936
토끼	1
토대	0.862
토론	1
토론자	0.839
토론회	0.993
토마토	0.659
토요일	0.933
통계	0.678
통과	0.995
통로	0.494
통신	0.91
통역	1
통일	0.921
통장	0.788
통제	0.975
통증	1
통합	0.51
통화	0.974
퇴근	0.907
퇴원	0.86
퇴직금	0.849
투자	0.847
투표	0.934
튀김	0.955
트럭	1
특급	1
특별	1
특성	0.81
특수	0.895
특수성	0.819
특징	1
티브이	0.853
티셔츠	1
파도	0.844
파란색	0.484
파리	0.515
파일	0.93
파출소	0.89
파티	0.499
판결	0.831
판단	0.897
판매	0.607
판사	0.79
팔월	0.508
팝송	0.934
패션	1
팩스	0.876
팩시밀리	0.509
팬티	0.518
페인트	0
편견	1
편의	0.935
편의점	0.778
편지	0.912
평가	0.767
평균	1
평상시	0.827
평생	0.887
평소	0.884
평양	0.766
평일	0.935
평화	0.971
폐지	0.885
포도	0.833
포도주	0.91
포스터	0
포인트	0
포장	0.782
포장마차	0.644
포크	0.673
포함	1
폭력	1
표면	0.927
표시	0.83
표정	0.989
표준	1
표현	0.997
품목	0.663
품질	0.96
풍경	0.735
풍속	0.946
풍습	1
프랑스	0.847
프로	0.511
프로그램	1
프린터	0
플라스틱	1
피곤	1
피디	0.911
피로	0.49
피망	1
피부	0.886
피시	0.791
피아노	0.812
피자	0.839
피해	0.962
피해자	0.822
필름	1
필수	0.882
필수적	0.775
필연적	0.765
필요	0.893
필요성	0.79
필자	0.841
필통	0.961
핑계	0.684
하나	0.82
하나님	1
하나하나	0.835
하느님	1
하늘	1
하드웨어	0.581
하루	1
하룻밤	0.559
하반기	0.865
하숙집	1
하순	1
하얀색	0.506
하천	0.975
하품	1
학과	0.994
학교	0.935
학교생활	0.933
학급	1
학기	0.842
학년	1
학력	1
학번	0.958
학부모	0.821
학비	0.85
학생	0.89
학생증	1
학술	0.911
학습	1
학용품	1
학원	0.854
학위	0.744
학자	0.848
학점	0.79
한가운데	1
한강	0.874
한겨울	1
한계	0.67
한구석	1
한국	0.943
한국말	0.626
한국어	0.594
한국적	0.772
한글	1
한글날	1
한낮	1
한눈	0.838
한동안	0.822
한때	1
한라산	0.906
한마디	0.932
한문	0.917
한반도	0.827
한밤중	0.867
한번	0.955
한복	0.967
한순간	0.787
한숨	1
한식	0.776
한여름	1
한자	0.837
한잔	0.679
한쪽	1
한참	0.841
한편	0.986
한평생	0.883
할머니	1
할아버지	0.876
할인	0.833
합격	1
합리적	0.763
항공	0.925
항공기	0.854
항구	0.822
항의	0.939
해결	0.837
해군	1
해답	0.951
해당	1
해물	0.914
해석	1
해설	0.767
해소	0.891
해수욕장	0.785
해안	0.809
해외	0.8
해외여행	1
핵심	0.849
핸드백	1
핸드폰	1
햄버거	0.776
햇볕	1
햇빛	0
햇살	0.485
행동	0.893
행복	0.966
행사	0.786
행운	0.998
행위	0.731
향기	0.87
향상	0.845
향수	0.914
허가	0.774
허락	1
허리	0.502
허용	0.807
헬기	0.844
현관	0.714
현관문	0.915
현금	0.857
현대	0.884
현대인	0.841
현대적	0.787
현상	0.843
현실	0.778
현실적	0.759
현장	0.792
현재	0.752
현지	0.907
혈액	1
협력	1
형님	1
형부	0.874
형사	0.771
형성	0.81
형수	0.897
형식	0.776
형식적	0.741
형제	0.983
형태	1
형편	0.986
혜택	1
호기심	0.827
호남	0.835
호랑이	0.86
호박	1
호수	0.888
호실	0.777
호주	0.91
호주머니	1
호텔	1
호흡	1
혼자	0.821
혼잣말	0.623
홈페이지	0.907
홍보	0.857
홍수	0.886
홍차	0.64
화가	0.788
화면	0.93
화분	0.82
화살	0.477
화요일	0.948
화장	0.776
화장실	0.814
화장지	0.893
화장품	1
화재	0.77
화제	0.988
화학	0.795
확보	0.864
확신	0.898
확인	0.832
확장	0.774
확정	0.987
환갑	1
환경	0.731
환경오염	0
환영	0.822
환율	1
환자	0.842
활기	0.857
활동	0.876
활용	0.782
회견	1
회관	0.713
회복	0.963
회사	0.763
회색	0.5
회원	0.866
회의	0.917
회장	0.781
회전	0.917
회화	0.966
횟수	0.89
횡단보도	0.812
효과	0.992
효과적	0.753
효도	0.831
효율적	0.75
효자	0.842
후기	0.841
후반	0.853
후배	0.796
후보	0.845
후춧가루	1
후회	0.993
훈련	1
휴가	0.757
휴식	0.772
휴일	0.93
휴지	0.907
휴지통	0.948
흉내	0.751
흐름	1
흑백	1
흑인	0.844
흔적	0.768
흥미	0.795
흥분	0.82
희곡	1
희망	1
희생	0.888
흰색	0.511
